GO,ID,Description,NES,p.adjust,core_enrichment,Database,Description_lc,Functional_Module
R-HSA-69278,R-HSA-69278,"Cell Cycle, Mitotic",-1.881298592,0.002301458,10383/5705/5048/10376/9798/3320/3837/5709/1778/8454/5704/5713/5707/9861/5577/5700/5861/7277/5862/5500/5528/10540/7280/5692/3326/5717/1639/5719/10381/1457/5708/5718/5518/3842/9793/5701/51451/5516/1780/2029/27183/5520/51143/5706/5702/5529/51400/7532/4067/8615/81565/23122/3796,Reactome,"cell cycle, mitotic",Unclassified
WP2267,WP2267,Synaptic vesicle pathway,-2.170554516,0.003980362,163/57030/161/6844/10815/6853/10814/1173/160/6854/4905/26052/6616/6804/10059/5864/6857/1759/6812,WP,synaptic vesicle pathway,Synaptic regulation
WP2806,WP2806,Complement system,2.046782902,0.003980362,718/720/3915/2266/3383/3673/811/3911,WP,complement system,Immune Response and Regulation
WP4658,WP4658,Small cell lung cancer,2.044033018,0.003980362,3915/3913/3908/3673/3688/3911/3655,WP,small cell lung cancer,Unclassified
WP2853,WP2853,Endoderm differentiation,2.03585878,0.003980362,351/3915/1499/6772,WP,endoderm differentiation,Unclassified
WP111,WP111,Electron transport chain OXPHOS system in mitochondria,2.013539995,0.005459921,293/7385/7384/1329/4719/1340/291/1327/4704/9377,WP,electron transport chain oxphos system in mitochondria,Mitochondria and metabolism
WP5090,WP5090,Complement system in neuronal development and plasticity,1.988648698,0.005762769,718/720/4155/3684/57088/3689,WP,complement system in neuronal development and plasticity,Synaptic regulation
WP5561,WP5561,Integrative Analysis of Treg Glial Interactions ,1.94723539,0.005762769,960/4340/5354/4162/347/3673/6772/4155,WP,integrative analysis of treg glial interactions ,Unclassified
WP4549,WP4549,Fragile X syndrome,-1.924026032,0.012269671,1211/5781/2561/5530/163/6529/26999/2534/2891/6455/1173/5605/160/5604/1212/6457/23236/2043/1759/814/5909/1845/1742/9456,WP,fragile x syndrome,Unclassified
WP2328,WP2328,Allograft rejection,1.876148157,0.022216801,718/720/3123/6772,WP,allograft rejection,Unclassified
WP4172,WP4172,PI3K Akt signaling,1.733095651,0.041164793,1292/1291/1293/3915/3913/3908/3679/7143/3673/2246/3688/3911/55970/7184/3655/3691,WP,pi3k akt signaling,Unclassified
