Significant	-Log(P-value)	Difference	Gene names	Symbol color	Symbol type	Symbol size	Show label	riBAQ 17	riBAQ 18	riBAQ 35	riBAQ 36	riBAQ 19	riBAQ 20	riBAQ 21	riBAQ 22	riBAQ 23	riBAQ 37	riBAQ 38	riBAQ 39	riBAQ 40	riBAQ 41	riBAQ 24	riBAQ 25	riBAQ 26	riBAQ 42	riBAQ 43
	0.566900211833241	0.9648055955767632	ACOT1	Color2 [DarkGray]	1	4		-2.329483985900879	NaN	-1.5719962120056152	-2.3525235652923584	-2.30564022064209	NaN	NaN	NaN	-1.7134758234024048	NaN	-1.9739826917648315	-2.410142660140991	-1.4952821731567383	-2.053323984146118	NaN	-1.0895477533340454	0.2777920067310333	-0.8727225661277771	-2.794970989227295
+	3.287102684060758	-2.3589318573474882	ACOT7	Color2 [DarkGray]	1	4		1.7876795530319214	1.8894628286361694	2.0353589057922363	2.1026480197906494	1.666157841682434	1.2065399885177612	1.2965110540390015	1.8560035228729248	1.4759868383407593	1.6852236986160278	1.6495190858840942	0.9400514364242554	1.2194595336914062	2.2148749828338623	0.8558691740036011	-0.7373291254043579	-0.31458088755607605	-0.7192086577415466	-1.1104731559753418
	-0	NaN	ACOX1	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.6059136390686035	-2.689145088195801	-1.8727225065231323	-1.644554615020752
	0.8882985518455171	-0.4297476440668106	ACP1	Color2 [DarkGray]	1	4		-0.12558847665786743	0.6364444494247437	0.3419681191444397	0.5393726229667664	0.5152217149734497	0.032785285264253616	0.10636170953512192	0.5580317974090576	-0.3083425462245941	0.5744802355766296	0.7416640520095825	0.6714004278182983	0.7219333052635193	0.9179800748825073	0.3792189061641693	-0.5827738046646118	-0.22620579600334167	0.262393057346344	-0.24112468957901
	-0	NaN	ACP2	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	-2.3933889865875244	-2.099104642868042	-2.4165890216827393	NaN	NaN	NaN	-2.422579526901245	NaN	NaN	-1.8328105211257935	-1.0426470041275024	-1.9521799087524414	-2.343538284301758	-1.4447846412658691
	-0	-0.651522159576416	ACSBG1	Color2 [DarkGray]	1	4		-2.908186912536621	-3.641878843307495	-3.2448859214782715	-2.2606008052825928	-3.883829116821289	NaN	-2.6963460445404053	NaN	NaN	-3.349896192550659	-2.9892489910125732	-4.2147135734558105	-2.9011011123657227	-3.4857637882232666	-3.665410280227661	NaN	NaN	NaN	NaN
	0.5931046119825553	0.39796699881553654	ACSL6	Color2 [DarkGray]	1	4		-2.808651924133301	-1.7962642908096313	-1.9420037269592285	-2.7342021465301514	-3.288766860961914	-1.4876395463943481	-3.036888837814331	-3.377769708633423	-3.596829891204834	-1.931583285331726	-1.8023709058761597	NaN	-3.7527780532836914	NaN	-2.1727259159088135	-2.201683521270752	-2.3468637466430664	-1.429879069328308	-1.4604153633117676
	-0	NaN	ACSS1	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	-3.4926395416259766	NaN	NaN	NaN	NaN	-3.8440043926239014	-3.4422996044158936	NaN	NaN	NaN	NaN	-2.8223376274108887	-3.322201728820801	-3.71262264251709	-1.6023259162902832
	-0	NaN	ACSS3	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	-5.216779708862305	NaN	-5.5223164558410645	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.725054740905762	-4.99017858505249	-3.8596620559692383	NaN	-3.9259896278381348
	0.12066907030996135	0.07495270967483503	ACTC1	Color2 [DarkGray]	1	4		3.9934024810791016	3.958552598953247	4.183211803436279	4.216953277587891	3.797426223754883	4.133837699890137	4.8067708015441895	4.361387729644775	3.9150538444519043	4.203792572021484	4.8389787673950195	4.440305233001709	4.61418342590332	4.54704475402832	4.404094696044922	4.633572101593018	3.445652961730957	4.1403961181640625	4.191197872161865
	0.6043913486554969	0.164259672164917	ACTG1	Color2 [DarkGray]	1	4		7.024617671966553	6.943491458892822	6.924314498901367	6.996798515319824	6.878608703613281	7.187612056732178	7.409229755401611	6.984500885009766	6.9970703125	7.092036247253418	6.870394229888916	6.980920314788818	6.8093061447143555	6.986440181732178	7.345009803771973	7.049808502197266	7.377161502838135	7.160565376281738	6.750280857086182
	0.7575870376303807	-0.3304407149553299	ACTN1	Color2 [DarkGray]	1	4		-0.15192705392837524	-1.1889539957046509	-0.5014309287071228	-0.7036140561103821	-0.49586284160614014	-1.4605027437210083	0.22942955791950226	-0.7737829685211182	-1.1437793970108032	-0.4946306645870209	-0.7934101819992065	-0.40396368503570557	-0.250278502702713	-1.1638356447219849	-0.8518630266189575	-1.1148582696914673	-0.8189821243286133	-1.2677420377731323	-0.7811656594276428
	1.1170056017985095	0.3135926693677902	ACTN4	Color2 [DarkGray]	1	4		0.8879899382591248	0.28095948696136475	0.5864015221595764	0.38467901945114136	0.7353554964065552	-0.11290182173252106	1.257006049156189	0.3602607250213623	0.26651135087013245	0.936206042766571	0.700018048286438	1.0136264562606812	0.9743470549583435	0.13790500164031982	0.6606234312057495	0.8978084325790405	0.9034967422485352	0.6716547608375549	1.10941743850708
