GO,ID,Description,NES,p.adjust,core_enrichment,Database,Functional_Module
hsa05020,hsa05020,Prion Disease,1.9790108,0.000509414,7385/7384/4719/293/291/1327/7417/1329/4704/7416/1537/1340/3309/9377/3915/6389/7381/7419/1536/4513,KEGG,Immune Response and Regulation
hsa05222,hsa05222,Small Cell Lung Cancer,2.094684337,0.000649273,3673/3915/3913/3688/3908/3911/3655,KEGG,Immune Response and Regulation
hsa00190,hsa00190,Oxidative Phosphorylation,2.075980076,0.000860622,7385/7384/4719/1327/1329/4704/1537/1340/9377/6389/7381/4513/64077,KEGG,Mitochondria and metabolism
hsa04510,hsa04510,Focal Adhesion,2.005886502,0.000965224,1292/1291/1293/3673/3679/2316/3915/3913/3688/3908/824/3911/3691/7414/3655/2317/103910/5159/7094/857,KEGG,Extracellular matrix and adhesion
hsa04260,hsa04260,Cardiac Muscle Contraction,2.093772035,0.001021149,7385/7384/1327/1329/1537/1340/9377/7381/483/4513,KEGG,Unclassified
hsa04961,hsa04961,Endocrine And Other Factor-Regulated Calcium Reabsorption,-2.098487636,0.001982999,5567/5579/493/793/481/476/5582/1211/1213/1173/6546/26052/161/491/490/163/1212/160/492/1759/23236/6543,KEGG,Endoplasmic reticulum and secretory pathway
hsa04141,hsa04141,Protein Processing In Endoplasmic Reticulum,2.006287121,0.003048637,9601/5589/10130/2923/23193/5034/3309/811/821/7184/824/10961/1410,KEGG,Endoplasmic reticulum and secretory pathway
hsa04114,hsa04114,Oocyte Meiosis,-2.010198203,0.003475921,5500/10971/5528/5567/7531/805/5516/7534/815/5518/7529/5529/8454/7532/7533/5534/5530/5604/5532,KEGG,Microtubule organisation
hsa04724,hsa04724,Glutamatergic Synapse,-2.01296555,0.004170303,23154/5534/2752/57030/5530/2770/2912/23236/10681/1742/2913/5532,KEGG,Synaptic regulation
hsa00280,hsa00280,"Valine, Leucine And Isoleucine Degradation",1.945807216,0.005942881,3032/3030/3033/10449/11112/501/223/1892/38/1738/217/18/4329/34,KEGG,Endoplasmic reticulum and secretory pathway
hsa00380,hsa00380,Tryptophan Metabolism,1.936738338,0.006101756,4129/3030/4128/3033/847/501/223/1892/38/1738/217,KEGG,Mitochondria and metabolism
hsa05150,hsa05150,Staphylococcus Aureus Infection,1.922985745,0.00664629,3383/720/3123/2266/718/3684/3689/2209,KEGG,Immune Response and Regulation
hsa05010,hsa05010,Alzheimer Disease,1.735142225,0.0067114,7385/7384/4719/293/291/1327/7417/4035/1329/4704/7416/1537/1340/9377/6389/824/7381/7419/1536/4513,KEGG,Synaptic regulation
hsa04120,hsa04120,Ubiquitin Mediated Proteolysis,-1.939429194,0.009947559,8450/1642/9039/8065/8452/9040/7334/7317/8453/10273/8454/63893/3093,KEGG,Peptidase activity
hsa04640,hsa04640,Hematopoietic Cell Lineage,1.876143958,0.011770635,960/3673/3123/3655/3684/952/2209,KEGG,Immune Response and Regulation
hsa04613,hsa04613,Neutrophil Extracellular Trap Formation,1.871311732,0.011770635,293/291/7417/7416/2266/718/7419/1536/3684/3689/2209,KEGG,Immune Response and Regulation
hsa00071,hsa00071,Fatty Acid Degradation,1.86611689,0.011770635,3032/3030/3033/37/10449/501/223/128/1892/38/217,KEGG,Mitochondria and metabolism
hsa05016,hsa05016,Huntington Disease,1.710729678,0.011770635,7385/7384/4719/293/291/1327/7417/1329/4704/6648/7416/1537/1340/9377/6389/7381/7419,KEGG,Synaptic regulation
hsa04610,hsa04610,Complement And Coagulation Cascades,1.881909989,0.011958488,2/720/2266/718/3684/3689/5265,KEGG,Immune Response and Regulation
hsa04151,hsa04151,Pi3K-AKT Signaling Pathway,1.757776251,0.012983738,1292/1291/1293/3673/3679/3915/7184/3913/3688/3908/3911/55970/3691/3655,KEGG,Apoptosis
hsa04660,hsa04660,T Cell Receptor Signaling Pathway,-1.93343986,0.0130539,2534/5781/1739/5516/5518/5529/5520/5063/5534/5530/5604/5058/5532,KEGG,Immune Response and Regulation
hsa01212,hsa01212,Fatty Acid Metabolism,1.840890172,0.014401784,3032/3030/3295/5538/3033/51144/37/10449/1892/38,KEGG,Mitochondria and metabolism
hsa04360,hsa04360,Axon Guidance,-1.760049673,0.014401784,5362/815/5063/1020/5534/5530/2770/5058/2043/9475/5361/5532/91584,KEGG,Microtubule organisation
hsa05322,hsa05322,Systemic Lupus Erythematosus,1.741333099,0.030414078,720/3123/718/2209,KEGG,Immune Response and Regulation
hsa04261,hsa04261,Adrenergic Signaling in Cardiomyocytes,-1.698059854,0.030414078,5500/478/5528/55799/5567/493/481/476/805/5516/815/5518/6546/5529/5520/491/490/2770/492/23236/6543,KEGG,Endoplasmic reticulum and secretory pathway
hsa04110,hsa04110,Cell Cycle,-1.847779468,0.034315165,10971/5528/7531/5516/7534/5518/7529/5529/8454/7532/7533,KEGG,Cell cycle regulation
