Significant	-Log(P-value)	Difference	Proteins	Symbol color	Symbol type	Symbol size	Show label	riBAQ.17	riBAQ.18	riBAQ.35	riBAQ.36	riBAQ.19	riBAQ.20	riBAQ.21	riBAQ.22	riBAQ.23	riBAQ.37	riBAQ.38	riBAQ.39	riBAQ.40	riBAQ.41	riBAQ.24	riBAQ.25	riBAQ.26	riBAQ.42	riBAQ.43
	-0	NaN	AIFM1	Color2 [DarkGray]	1	4		-2.494232177734375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.722752571105957	-1.6506080627441406	-2.2501983642578125	-1.7560076713562012	-1.8601388931274414
	-0	0.6127018928527832	AIMP1	Color2 [DarkGray]	1	4		-2.157541275024414	-2.111142158508301	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.7470436096191406	NaN	-2.004826545715332	-2.4236021041870117	-3.002817153930664	-1.8426403999328613	-2.03092098236084
	0.09856365073829207	0.03119173049926749	AK1	Color2 [DarkGray]	1	4		2.9610166549682617	3.0955848693847656	3.5371150970458984	3.4289121627807617	3.4196977615356445	3.285918712615967	3.2954282760620117	3.1920180320739746	3.1560401916503906	3.2080936431884766	3.335287094116211	2.970794677734375	2.9372215270996094	3.444154739379883	3.2388601303100586	3.89926815032959	3.874964714050293	4.940845012664795	3.67549991607666
	-0	NaN	AK2	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.6278319358825684	-2.2190704345703125	NaN	-2.795269012451172	NaN	-1.5206928253173828	-2.1587066650390625	-1.4658927917480469	-0.8331222534179688	-0.9386863708496094	0.0350337028503418	-0.9321575164794922
	0.24353748100390993	-0.2637814521789551	AK3	Color2 [DarkGray]	1	4		-0.06127357482910156	-1.4563579559326172	NaN	-0.8022232055664062	-0.7971076965332031	-1.79600191116333	0.17480754852294922	-1.1454386711120605	-0.017174720764160156	-0.8322000503540039	-0.6960849761962891	-0.2950887680053711	0.5276203155517578	-0.21836566925048828	-0.06763267517089844	0.8664751052856445	0.45427608489990234	0.21318578720092773	1.0531797409057617
	-0	NaN	AK4	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9697084426879883	-1.8534393310546875	-1.1047358512878418	0.21589374542236328
	0.008553457539268483	-0.0049207210540771484	AKAP12	Color2 [DarkGray]	1	4		-0.3160867691040039	0.36864280700683594	0.4249544143676758	0.10374736785888672	-0.14399433135986328	0.24578332901000977	-0.47785186767578125	0.15262651443481445	0.006992340087890625	0.6399240493774414	0.5268793106079102	-0.04671001434326172	0.21484088897705078	0.3838615417480469	-0.5097246170043945	-1.3351640701293945	-1.6583328247070312	-0.3615841865539551	-1.8498954772949219
	0.6057601288677009	-0.37590277194976807	AKR1C3	Color2 [DarkGray]	1	4		-1.9398193359375	-1.526179313659668	NaN	-2.146389961242676	NaN	-1.873563289642334	-1.192500114440918	-1.0628085136413574	-2.406240463256836	NaN	-0.9954557418823242	-1.4223365783691406	-1.2675743103027344	-1.738668441772461	-1.2616024017333984	-0.14249801635742188	-0.3004283905029297	0.056093692779541016	-0.30913352966308594
	0.1822929045641835	-0.07939524650573726	AKR7A2	Color2 [DarkGray]	1	4		0.5881195068359375	0.19347763061523438	0.8540487289428711	0.35437583923339844	0.6500663757324219	0.017257213592529297	0.5467824935913086	0.5899920463562012	0.2636995315551758	0.5574264526367188	0.728668212890625	0.8750038146972656	1.0790557861328125	0.46105480194091797	0.9707126617431641	1.2140769958496094	1.0952177047729492	1.8153834342956543	1.4144392013549805
	1.4936663564063684	-0.5814520835876464	ALAD	Color2 [DarkGray]	1	4		0.7175455093383789	-0.40795326232910156	0.15392303466796875	0.09488773345947266	0.8518447875976562	-0.006758213043212891	0.4510793685913086	0.35013723373413086	0.9069805145263672	0.638545036315918	0.7251386642456055	0.832697868347168	1.2887325286865234	1.1721305847167969	0.704376220703125	1.672231674194336	1.9980897903442383	2.080477237701416	1.490509033203125
	0.19413738949902157	-0.08993339538574219	ALCAM	Color2 [DarkGray]	1	4		0.8256082534790039	0.7259674072265625	1.1798343658447266	1.0047616958618164	1.052642822265625	1.0982422828674316	1.7595510482788086	1.2492480278015137	0.5198087692260742	0.6724729537963867	1.1075925827026367	1.0310049057006836	1.0376691818237305	0.7115306854248047	1.7206974029541016	2.11666202545166	1.6287317276000977	1.8821730613708496	1.7889575958251953
	0.3488401414836483	0.33323001861572266	ALDH5A1	Color2 [DarkGray]	1	4		0.21343135833740234	NaN	-0.6787710189819336	-1.4362850189208984	-0.965052604675293	-2.1551690101623535	-0.09949302673339844	-1.4749808311462402	-1.3510990142822266	-0.78076171875	-1.0988855361938477	-0.47966957092285156	-0.40491199493408203	-0.8610258102416992	-0.3820323944091797	0.013293266296386719	-0.0010251998901367188	-0.7918524742126465	0.21283435821533203
