Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
GABBR2,EPSTI1,EIF2AK3,GSX2,GRP
GABPB2,EPX,EIF4ENIF1,GTF2H4,FAM110D
GABRA4,ERAP1,ELAVL2,GUCY2F,GSTM1
GABRB1,ERMAP,ELAVL4,HAPLN2,GSTT2
GABRG1,ERP29,ELF2,HCN2,GTF2E2
GADD45G,ESR1,ELMOD1,HEATR3,GYPC
GALNT4,ETV3,EMC9,HHATL,HLA-A
GAS1,EVL,EML5,HIF1AN,HAUS1
GCDH,F11R,EMSY,HIP1,HBP1
GCNT4,F13A1,EMX2,HIP1R,HDAC7
GCSH,F9,ENO2,H2AC16,HEG1
GDPD2,FCMR,ENOX1,H2BC10,HEPH
GFAP,OTULINL,ENTPD3,H2BC6,HHEX
GJA1,OTULIN,EOMES,H2BC17,HIC1
GJB6,FAM110A,EP400,H4C6,HIGD1B
GLB1L,FAM167B,EPB41L4B,H4C9,H2AC4
GLDC,EVA1A,DMTN,H4-16,H3C13
GLI1,CALHM6,EPC2,H2AC18,HMCN1
GLI2,FAM3A,EPHA10,H2AC20,HMG20B
GLI3,TENT5B,EPHA3,HOXD1,HMGCS2
GLIS3,TENT5C,EPHA6,HPCAL4,HOPX
GLUD1,CYRIB,EPHA7,HR,HPRT1
GLUL,FAM76B,EPHA8,PLAAT1,HSD3B7
GNAO1,FAM78A,EPHB2,HS3ST1,HSF4
GOLGB1,FAM83G,EPHB6,HSPA12A,HSPA12B
GPAM,FBLIM1,EPM2AIP1,HTR5A,HSPB1
GPATCH2,FBRS,ERC2,HYPK,HSPB8
GPC4,FBXW4,ERI1,IBSP,HSPG2
GPD2,FCER1G,ERO1B,CILK1,HTRA3
GPM6A,FCGR1A,ESRRG,IFFO1,HYAL2
GPM6B,FCGR2B,EXOSC4,IFIT2,ICAM2
GPR156,FCGR2A,EYA2,IGF2,IFI44
GPR179,FCGR3A,EZH2,IGF2BP2,IFIH1
GPR19,FCGRT,RAMAC,IGSF8,IFITM2
GPR3,FCRL1,TCAF1,IGSF9B,IFITM3
GPR37L1,FERMT3,FAM117B,IL17D,LMNTD1
PTGDR2,FES,FAM120B,IL17RB,IFNAR1
ADGRG1,FEZ2,AMER3,IL1RAP,IGBP1
GPR63,FGD2,FAM131A,IMP4,IGF1R
GPRC5D,FGR,C1QTNF12,INF2,IGFBP1
GPT,FHL3,ALKAL2,INHBC,IGFBP7
GPX8,FIGNL2,SHISAL2B,INPP5B,IGSF5
GRAMD4,FKBP5,FAM163B,INPPL1,IL13RA1
GREB1,FLCN,ZC2HC1A,INSC,IL15
GRHL1,FMNL3,FAM171A2,IQCJ,IL17RC
GRIN2C,FNDC7,FAM185A,IRS2,IL17RE
GRM5,FNIP2,FAM189B,ISG20,IL1R1
GSG1L,FOLR2,INSYN2A,ITGA8,IL27RA
GSTK1,FOXP4,TLCD3B,ITGAD,IL2RG
GSTM5,FPR1,RIPOR2,ITGAV,IL3RA
GSTM3,FRRS1,FAM71E1,ITGB4,IL6
GSTZ1,FSCN1,FAM78B,ITGB7,IMPDH1
GUCY1A1,FTL,FAM89B,ITIH2,INSL3
GULP1,FUCA1,FANK1,ITIH5,INSR
LARGE2,FURIN,FASTKD5,ITPR2,IPMK
GYS1,FYB1,FAT2,JAM3,IQCG
HACL1,GAB2,FAT3,JMY,IQGAP1
HADH,GABRD,FBXL16,JOSD2,IRF7
HADHA,GADD45B,FBXL19,KANK1,IRF9
HAPLN1,GAL3ST4,FBXL2,KATNAL1,IRX3
HECTD2,GALK2,FBXO30,KAZN,ISM1
HEPACAM,GALM,FBXO41,KCND2,ISYNA1
HERC6,GALNS,FCHSD1,KCNH8,ITGA1
HES5,GALNT12,FGF13,KCNIP3,ITGA2B
HEY2,GAS6,FIBCD1,KCNJ16,ITGA4
HHIPL1,GATM,FIBIN,KCNK1,ITGB1
HIF3A,GBA,FKBP11,KCNK10,ITGB3BP
H3C4,GBGT1,FKBP1B,KCNMB4,ITM2A
H3C11,GBP7,FKBP3,KCTD13,ITPR1
HMGCR,GCN1,FLRT3,KCTD15,ITPRIP
HOGA1,GCNT1,FLYWCH1,KHDRBS2,ITSN2
RIDA,GDA,FLYWCH2,KIF13A,JAG1
HS3ST3A1,GDF15,FMN1,KIF13B,JAG2
HS3ST3B1,GDPGP1,FNBP4,KIF18B,JAK2
HSD11B1,GGA2,FNDC3B,KIF19,AJUBA
HSPA2,GGH,FOXG1,KIF2C,KANK3
HTRA1,GGT5,FOXJ3,KIF5A,KANK4
HYAL1,GIMAP1-GIMAP5,FOXK2,KIFC1,KCNA5
ID3,GIT2,FOXO3,KL,KCNE3
ID4,GLA,FOXO6,KLC3,KCNG2
IDI1,GLB1L,FRAT1,KLHDC4,KCNJ14
IFT122,GLIPR1,FRMPD3,KLHL13,KCNJ15
IFT140,GLS,FRMPD4,KLK6,KCNJ2
IGDCC4,GLUL,FSIP1,KNDC1,KCNJ8
IGF2BP3,CSTA,FSTL4,KNTC1,KCNK5
IGFBP2,GMFG,FUT7,KRT1,KCNMB1
IGFBP5,GMIP,FXYD7,KRT17,KCNQ1
IGSF1,GMPR,GABRA1,AFG1L,KCNRG
IKBIP,GNA15,GABRA5,LAD1,KCP
IL15RA,GNGT2,GABRB2,LARP6,KCTD10
IL17RD,GNPDA1,GABRG2,LBH,KDR
