Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
Cldn10,Cd300ld,Cdkn1b,Dct,Cxcl11
Cldn20,Cd300lf,Cdon,Ddc,Cxcr4
Clec16a,Cd33,Cdr1,Ddx25,Cyp2d13
Clk2,Cd37,Cds1,Ddx43,Cyp2d22
Clu,Cd3d,Ceacam16,Ddx59,Cyp2d9
Clybl,Cd3e,Celf3,Dennd2a,Cyp39a1
Cmbl,Cd4,Celf4,Derl3,Cyp8b1
Nat8f1,Cd48,Celf5,Gsdme,Cysltr2
Nat8f2,Cd5,Celf6,Dgat1,Cytl1
Nat8f3,Cd52,Celsr2,Dhcr24,Cyyr1
Nat8f5,Cd53,Celsr3,Dhrs13,Lurap1l
Cmya5,Cd6,Cend1,Dicer1,Dab2
Cnn1,Cd63,Cenpc1,Dlg1,Dapl1
Cnn3,Cd68,Cep104,Dlgap5,Dbh
Cntd1,Cd7,Cep120,Dlk2,Dcbld1
Cntfr,Cd72,Cep170,Dll1,Ddi2
Col4a5,Cd74,Cep170b,Dll3,Ddx10
Coprs,Cd79a,Cggbp1,Dmrta1,Ddx58
Coro2b,Cd79b,Cgn,Dnah10,Def6
Cox10,Cd80,Cgref1,Dnah5,Degs2
Cox6b1,Cd83,Chac1,Dnah7b,Dennd2c
Cpe,Cd84,Chaf1a,Dnaic2,Dennd3
Cpm,Cd86,Chaf1b,Dnaja4,Dennd5b
Cpt1a,Cd8b1,Champ1,Dnajb2,Dera
Cpt2,Cd99l2,Chat,Dnm1,Des
Crb2,Cdca4,Chchd10,Dnm3,Dgka
Creb3l4,Cdh23,Chd3,Dock3,Dgkh
Crot,Cdk6,Chd5,Dock5,Dhx40
Crtc3,Cds1,Chd6,Dock6,Dlc1
Crym,Cdt1,Chd7,Dock9,Dleu2
Csdc2,Ceacam10,Chd8,Dohh,Dll4
Csgalnact1,Ceacam2,Chd9,Dph5,Dmgdh
Cspp1,Cebpa,Chgb,Dpp10,Dnah6
Csrp1,Cebpb,Chn1,Dpp6,Dnajc10
Cst3,Cep250,Chodl,Dpyd,Dnajc2
Ctbp2,Cerk,Chrm3,Dscc1,Dnase1l1
Ctdspl,Cfh,Chrm4,Dtd1,Dnmt3b
Cth,Cfp,Chrm5,Dusp15,Dok4
Ctnnbip1,Ch25h,Chrna3,Dusp9,Dpp4
Ctnnd2,Chil3,Chrna7,Dync2li1,Dram2
Cul7,Chil3,Chrnb2,Dynll2,Dtx3l
Cwc22,Chmp1b,Chrnb4,E2f8,Dusp22
Cwf19l2,Chst12,Chsy3,Ect2,Dusp23
Cybrd1,Chst7,Cib2,Eda2r,Dusp6
Cyp1b1,Cib1,Cidea,Eef1a2,Dysf
Cyp2j9,Cilp2,Cilp,Efcab1,E2f7
Cyp4f14,Ckm,Cirbp,Efemp1,Ebf1
Cyp4f15,Clcf1,Cit,Efhd1,Ece1
Cyp4f16,Clcn5,Cited2,Efnb3,Ecm1
Cyp4f17,Clec10a,Ckmt1,Efr3b,Ecm2
Cyp4f37,Clec12a,Clcn1,Efs,Ecscr
Cyp7b1,Clec2i,Tmem114,Ehd3,Edn3
Ccn1,Clec4a1,Cldn3,Eif1b,Eef1a1
Zfp267,Clec4a2,Clk4,Elfn2,Efna1
Daam2,Clec4a3,Clrn1,Elovl4,Egfl7
Dag1,Clec4a4,Clstn1,Elovl6,Egfl8
Dagla,Clec4d,Clstn2,Emb,Egflam
Dbi,Clec4e,Clstn3,Eme1,Ehd2
Dbx2,Clec4n,Clvs1,Emid1,Eif3e
Dclk1,Clec5a,Clvs2,Col26a1,Eif3h
Dclk2,Clec7a,Cmss1,Emilin3,Eif3m
Dctn1,Clic1,Cnfn,Eml1,Elf1
Ddb2,Cln3,Cnga3,Endod1,Elk3
Ddhd1,Cln5,Cnih2,Eno2,Elk4
Ddit4l,Cln8,Cnih3,Enpp2,Adgrl4
Ddo,Clta,Cnksr2,Enpp6,Emcn
Ddr2,Cmklr1,Cnnm1,Epb41,Emp1
Ddt,Cmtm3,Cnr1,Epb41l1,Endou
Decr1,Cmtm6,Cnrip1,Epb41,Eng
Dennd4c,Cmtm7,Cnst,Epb41l3,Enox2
Dgkb,Cndp2,Cntn2,Epcam,Enpep
Dhcr7,Cnpy3,Cntn3,Epn2,Enpp3
Dhrs1,Col27a1,Cntn5,Selenoi,Epas1
Dhrs4,Cert1,Cntnap1,Ermn,Ephb4
Dhtkd1,Col6a3,Cntnap2,Etnk2,Epor
Dhx32,Colgalt1,Cntnap3,Etv1,Eps8l2
Dio2,Commd5,Cntnap4,Evi5l,Erg
Dlg5,Comp,Cntnap5a,Exo1,Erich1
Dlgap1,Comt,Cntnap5c,Exog,Esam
Dlk1,Comtd1,Coch,Wfdc18,Esm1
Dmd,Coro1a,Col19a1,Extl1,Esyt1
Dmp1,Coro2a,Col23a1,Extl2,Esyt2
Dnaic1,Cotl1,Col24a1,Fa2h,Etl4
Dnajc25,Cox6a2,Col25a1,Fah,Ets1
Dnali1,Cpn1,Col6a2,Fam114a1,Ets2
Dock1,Cpq,Col6a4,Fam122a,Exoc3l
Dpf3,Cradd,Cort,Fam149a,Exoc5
Dpy19l3,Creg1,Cox7a1,Fam163a,Exoc6
Drp2,Crip1,Cpeb1,Fam169a,F2r
Dtna,Cry1,Cpeb3,Fam177a,F2rl1
Dync2h1,Cryba4,Cplx1,Fam178b,F2rl3
Dynlrb2,Crybb1,Cplx2,Fam180a,F5
Dzip1l,Cryl1,Cpne4,Insyn2b,Ubald2
Ech1,Csf1,Cpne5,Tafa4,Rflna
Echdc1,Csf1r,Cpne6,Calhm5,Rflnb
Echdc2,Csf2,Cpne7,Fam3c,Fam111a
Echdc3,Csf2rb,Cpne9,Tlcd3a,Tcaf2
Eci2,Csf2rb2,Crabp1,Ccnq,Fam124b
Edil3,Csf3r,Crabp2,Brinp3,Niban1
Ednrb,Csk,Crh,Mindy1,Fam13a
Eea1,Cst3,Crhbp,Tmem255a,Fam162b
Eepd1,Cst7,Crhr2,Tmem255b,Eva1b
Efhd1,Cstb,Crmp1,Miga1,Fam187b
Efna4,Ctbs,Csnk1e,Fam89a,Gask1b
Egf,Ctdnep1,Csrnp2,Fanca,Piezo2
Egfl6,Ctla4,Cstf2t,Fancd2,Fam43a
Egfr,Ctns,Ctcf,Far1,Nxpe2
Ehbp1,Ctsa,Ctif,Fbln7,Gm9027
Ehhadh,Ctsb,Ctxn2,Fbn1,Ripor1
Eif2s3y,Ctsc,Cx3cl1,Fbxo17,Fam71a
Eif4g3,Ctsd,Cxcl12,Fbxo36,Fam71f2
Elf5,Ctse,Cxxc4,Fbxo7,Eef2kmt
Elmo2,Ctsf,Cyb561,Fchsd2,Fap
Elmo3,Ctsh,Cygb,Fem1b,Far2
Elovl2,Ctsl,Cyp2s1,Fez1,Fbln5
Elovl5,Ctss,Cyp46a1,Fgf22,Fbxl12
Emp2,Ctsz,Cyp4b1,Fhl2,Fbxl22
Enkur,Cx3cr1,Cyp4x1,Fignl1,Fbxl8
Entpd2,Cxcl10,Nrep,Fip1l1,Fcho2
Epb41l5,Cxcl16,Arfgef3,Fkbp1a,Fem1c
Ephb3,Cxcl2,Plppr4,Fmnl2,Fermt2
Ephx2,Cxcl3,Dab2ip,Fnta,Fgd5
Erbb2,Cxcr3,Dach1,Fntb,Fgfbp1
Erbin,Cxcr5,Dact1,Foxm1,Fgfr4
Etaa1,Cyb5r1,Dapk1,Frmd4a,Filip1
Etfa,Cyba,Ackr1,Frmd5,Filip1l
Etfdh,Cyb561a3,Daxx,Frmd7,Fkbp10
Evc,Cybb,Dbn1,Fryl,Fkbp7
Evc2,Cyfip1,Dbndd1,Fsd1,Fkbpl
Evi5,Cyp4f18,Dcaf7,Fyn,Fli1
Exd1,Cyp4v3,Dck,G0s2,Flna
Ezr,Cysltr1,Dclk3,Gab1,Flnb
F3,Cyth4,Dcp1a,Gab2,Flrt2
Fabp5,Cytip,Dcx,Gabra3,Flt1
Fabp7,Phf11d,Deptor,Gale,Flt4
Fads2,Ldlrad4,Dgke,Galnt10,Fn1
Fam117a,M1ap,Dgkg,Galnt13,Fndc1
Fam120c,D8Ertd738e,Dgkk,Galnt3,Foxc1
Fam135a,Prag1,Dhx57,Galnt6,Foxf1
Fam13c,Daglb,Diablo,Galnt16,Foxf2
Fam168a,Dcxr,Diras1,Gamt,Foxl2
Fam171b,Ints6l,Diras2,Gap43,Foxl2os
Fam181a,Ddx31,Disp2,Gas2,Foxp1
Fam181b,Dennd1c,Dkkl1,Gbp11,Foxq1
Fam184a,Dennd4b,Dlg2,Gfod1,Frem1
Fam187a,Depdc7,Dlg3,Gfod2,Frk
Fam193b,Dgkd,Dlgap2,Gfra1,Frmd4b
Mcrip2,Dgkz,Dlx1,Gfra2,Fut4
Gask1a,Dhdh,Dlx1as,Ggct,Timm10b
Fam20a,Dhrs3,Dlx2,Gjb1,Fxyd5
Prxl2a,Dhx34,Dlx5,Gjc3,Fzd4
Nxpe4,Dhx58,Dlx6,Glra4,Fzd6
Garem1,Diaph2,Dlx6os2,Glrb,G6pc
Garem2,Diaph2,Dlx6os1,Gltp,Gabpb1
Fam76b,Dmxl1,Dmrt3,Nop53,Gadd45a
Fam83b,Dnajb13,Dmrta2,Gm7075,Galnt15
Fars2,Dnajc1,Dmxl2,Gmds,Galnt18
Fat1,Dnajc13,Dnah1,Gna12,Gata2
Fbp2,Dnase1l3,Dnajb6,Gnat1,Gata3
Fbxl21,Dnase2a,Dnajc27,Gnb4,Gbe1
Fbxo2,Dnase2a,Dnajc6,Gne,Gbp2
Fdft1,Dnm2,Dnajc9,Gng12,Gbp4
Fga,Dnttip1,Dner,Gng13,Gbp5
Fgd4,Dock2,Dnm1,Gng8,Gbp9
Fgd6,Dock8,Dnmt3a,Gnptab,Gchfr
Fgf1,Dok1,Doc2a,Gnptg,Gcnt2
Fgf2,Dok2,Doc2b,Gp1bb,Myzap
Fgfbp3,Dok3,Cbarp,Gpatch11,Gdpd3
Fgfr1,Dpp7,Dpysl3,Gpc1,Gimap1
Cep43,Dqx1,Dpysl5,Gpr158,Gimap4
Fgfr2,Dtnbp1,Drd1,Gpr17,Gimap5
Fgfr3,Dtx4,Drd2,Gpr37,Gimap6
Fhl1,Duoxa1,Drd5,Gpr62,Gimap8
Ficd,Dupd1,Dsg1a,Gpr75,Gimap9
Vegfd,Dusp1,Dsp,Gprc5b,Gipc3
Fjx1,Dusp13,Dusp14,Gpt2,Gja4
Fkbp9,Dusp2,Dusp4,Grb14,Gja5
Flnc,Dusp27,Dusp8,Grhpr,Gjc1
Flot2,Dusp5,Dut,Gria3,Gkn3
Fmn2,Dvl2,Dync1i1,Grik3,Glipr2
Fmo1,Dyrk2,Dzank1,Grik4,Glyatl3
Fmo4,Dyrk4,Ebf2,Grin3a,Gmnn
Fndc5,E2f2,Ebf3,Grxcr2,Gng11
Folh1,Ear1,Ecel1,Ppp1r17,Gng5
Fos,Rnase2a,Eef1a2,Gsn,Golim4
Fosb,Ear2,Efcab6,Gss,Gpcpd1
Foxr2,Ear3,Micu3,Gstp1,Gpihbp1
Foxred1,Ear6,Efhc2,Gstp2,Adgrf5
Fras1,Ebi3,Efna3,Gstt1,Adgra2
Frem2,Edem1,Efna5,Gsx1,Adgrg6
Frmpd1,Edem2,Ehbp1,Gsx2,Gpr143
Cmtr2,Eef2k,Ehmt1,Gtf2h4,Slc52a2
Fut9,Efhd2,Ehmt2,Gucy2f,Gper1
Fxyd1,Efr3a,Eif2ak3,Gypa,Gpr4
Fzd10,Egr1,Eif4enif1,Hapln2,Adgrg3
Fzd2,Egr2,Elavl2,Hcn2,Gprc5a
Gabbr1,Egr3,Elavl4,Heatr3,Grasp
Gabbr2,Ehbp1l1,Elf2,Hhatl,Grb10
Gabpb2,Ehd1,Elmod1,Hif1an,Grb7
Gabra4,Ehd4,Emc9,Hip1,Grcc10
Gabrb1,Eid3,Eml5,Hip1r,Grk5
Gabrg1,Eif4ebp1,Emsy,H1f4,Grp
Gadd45g,Elf4,Emx2,H2ac8,Grrp1
Galnt4,Elmo1,Eno2,Hist1h2al,Gsta4
Gas1,Eml3,Enox1,H2bc4,Gstm2
Gcdh,Emp3,Entpd3,H2bc13,Gstt2
Gcnt4,Adgre1,Eomes,H2bc22,Gt(ROSA)26Sor
Gcsh,Engase,Ep400,H4c3,Gtf2e2
Gdpd2,Eno3,Epb41l4b,H4c8,Gypc
Gfap,Enpp4,Dmtn,H4c9,H2-D1
Ggnbp1,Entpd1,Epb41l4b,H2ac18,H2-Q4
Gja1,Epdr1,Epc2,H2ac20,H2-T10
Gjb6,Epn1,Epha10,Hoxd1,Haus1
Glb1l,Epsti1,Epha3,Hpcal4,Hbp1
Gldc,Epx,Epha6,Hr,Hdac7
Gli1,Erap1,Epha7,Plaat1,Heg1
Gli2,Ermap,Epha8,Hs3st1,Heph
Gli3,Erp29,Ephb2,Hspa12a,Hhex
Glis3,Esr1,Ephb6,Htr5a,Hic1
Glud1,Etv3,Epm2aip1,Hypk,Higd1b
Glul,Evi2b,Erc2,Ibsp,H2ac11
Glycam1,Evl,Eri1,Cilk1,H3c3
Gm20441,F11r,Ero1b,Iffo1,Hmcn1
Gm5424,F13a1,Esrrg,Ifit2,Hmg20b
Gnao1,F9,Exosc4,Igf2,Hmgcs2
Golgb1,Fadd,Eya2,Igf2bp2,Hmgn5
Gpam,Fcmr,Ezh2,Igsf8,Hopx
Gpatch2,Otulinl,Fabp3,Igsf9b,Hprt
Gpc4,Otulin,Ramac,Il17d,Hrct1
Gpc6,Fam110a,Tcaf1,Il17rb,Hsd3b7
Gpd2,Fam167b,Fam117b,Il1rap,Hsf4
Gpm6a,Eva1a,Fam120b,Imp4,Hspa12b
Gpm6b,Fam24a,Amer3,Inf2,Hspb1
