ID	Symbol	Name	Species	Date	Remarks
100132828	LOC100132828	similar to hCG1993470	Hs	11/03/2015	
169834	LOC169834	hypothetical protein LOC169834	Hs	11/03/2015	
9759	HDAC4	histone deacetylase 4	Hs	11/03/2015	
9758	FRMPD4	FERM and PDZ domain containing 4	Hs	11/03/2015	
24146	CLDN15	claudin 15	Hs	11/03/2015	
24147	FJX1	four jointed box 1 (Drosophila)	Hs	11/03/2015	
24144	TFIP11	tuftelin interacting protein 11	Hs	11/03/2015	
24142	NAT6	N-acetyltransferase 6 (GCN5-related)	Hs	11/03/2015	
24140	FTSJ1	FtsJ homolog 1 (E. coli)	Hs	11/03/2015	
24148	PRPF6	PRP6 pre-mRNA processing factor 6 homolog (S. cerevisiae)	Hs	11/03/2015	
24149	ZNF318	zinc finger protein 318	Hs	11/03/2015	
55839	CENPN	centromere protein N	Hs	11/03/2015	
339192	LOC339192	hypothetical protein LOC339192	Hs	11/03/2015	
84340	GFM2	G elongation factor, mitochondrial 2	Hs	11/03/2015	
146861	AMAC1	acyl-malonyl condensing enzyme 1	Hs	11/03/2015	
146862	UNC45B	unc-45 homolog B (C. elegans)	Hs	11/03/2015	
136853	SRCRB4D	scavenger receptor cysteine rich domain containing, group B (4 domains)	Hs	11/03/2015	
147199	SCGB1C1	secretoglobin, family 1C, member 1	Hs	11/03/2015	
387793	LOC387793	MGC71469 protein	Hs	11/03/2015	
346389	MACC1	metastasis associated in colon cancer 1	Hs	11/03/2015	
157247	MGC27345	Hypothetical protein MGC27345	Hs	11/03/2015	
692072	SNORD5	small nucleolar RNA, C/D box 5	Hs	11/03/2015	
692073	SNORA16A	small nucleolar RNA, H/ACA box 16A	Hs	11/03/2015	
692076	SNORD7	small nucleolar RNA, C/D box 7	Hs	11/03/2015	
692075	SNORD6	small nucleolar RNA, C/D box 6	Hs	11/03/2015	
643797	UNQ6190	AGVR6190	Hs	11/03/2015	
645566	FLJ45482	hypothetical LOC645566	Hs	11/03/2015	
100128315	TMEM210	transmembrane protein 210	Hs	11/03/2015	
100128310	RP11-429E11.3	hypothetical LOC100128310	Hs	11/03/2015	
170689	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif, 15	Hs	11/03/2015	
170685	NUDT10	nudix (nucleoside diphosphate linked moiety X)-type motif 10	Hs	11/03/2015	
