Source Identifier	SystemCode
ENSG00000172939	En
ENSG00000089041	En
ENSG00000169313	En
ENSG00000185624	En
ENSG00000170515	En
ENSG00000070756	En
ENSG00000175115	En
ENSG00000124507	En
ENSG00000100266	En
ENSG00000165912	En
ENSG00000117115	En
ENSG00000007168	En
ENSG00000168092	En
ENSG00000079462	En
ENSG00000128050	En
ENSG00000149269	En
ENSG00000180370	En
ENSG00000077264	En
ENSG00000099864	En
NA	En
ENSG00000116288	En
ENSG00000197702	En
ENSG00000163346	En
ENSG00000173599	En
ENSG00000166228	En
ENSG00000169564	En
ENSG00000175198	En
ENSG00000156453	En
ENSG00000186472	En
ENSG00000120265	En
ENSG00000102109	En
ENSG00000116005	En
ENSG00000185813	En
ENSG00000105185	En
ENSG00000249915	En
ENSG00000170248	En
ENSG00000115252	En
ENSG00000186642	En
ENSG00000113721	En
ENSG00000131828	En
ENSG00000168291	En
ENSG00000167004	En
ENSG00000155660	En
ENSG00000143870	En
ENSG00000163110	En
ENSG00000160209	En
ENSG00000241360	En
ENSG00000162734	En
ENSG00000089220	En
ENSG00000261371	En
ENSG00000162517	En
ENSG00000124299	En
ENSG00000178921	En
ENSG00000143256	En
ENSG00000204220	En
ENSG00000123836	En
ENSG00000141959	En
ENSG00000152556	En
ENSG00000067057	En
ENSG00000108518	En
ENSG00000070087	En
ENSG00000171314	En
ENSG00000164708	En
ENSG00000142657	En
ENSG00000102144	En
ENSG00000130313	En
ENSG00000079739	En
ENSG00000169299	En
ENSG00000165434	En
ENSG00000013375	En
ENSG00000184207	En
ENSG00000101856	En
ENSG00000112137	En
NA	En
ENSG00000215021	En
ENSG00000092621	En
ENSG00000168490	En
ENSG00000165443	En
ENSG00000164530	En
ENSG00000155252	En
ENSG00000241973	En
ENSG00000127445	En
ENSG00000159763	En
ENSG00000150867	En
ENSG00000276293	En
ENSG00000166908	En
ENSG00000186111	En
ENSG00000087842	En
ENSG00000057757	En
ENSG00000174238	En
ENSG00000180957	En
ENSG00000067225	En
ENSG00000182621	En
ENSG00000187091	En
ENSG00000161714	En
ENSG00000129219	En
ENSG00000105223	En
ENSG00000178209	En
ENSG00000105355	En
ENSG00000123560	En
ENSG00000102024	En
ENSG00000114698	En
ENSG00000120594	En
ENSG00000114554	En
ENSG00000076356	En
ENSG00000221866	En
ENSG00000164050	En
ENSG00000196576	En
ENSG00000136040	En
ENSG00000147588	En
ENSG00000163344	En
ENSG00000198805	En
ENSG00000108439	En
ENSG00000105854	En
ENSG00000180817	En
ENSG00000138777	En
NA	En
NA	En
ENSG00000177380	En
ENSG00000196262	En
ENSG00000166794	En
ENSG00000108179	En
ENSG00000100614	En
ENSG00000111110	En
ENSG00000214517	En
ENSG00000213639	En
ENSG00000162869	En
ENSG00000115685	En
ENSG00000104695	En
ENSG00000105568	En
ENSG00000221914	En
NA	En
ENSG00000112640	En
ENSG00000154001	En
ENSG00000138814	En
ENSG00000107758	En
ENSG00000221823	En
ENSG00000011485	En
ENSG00000131238	En
ENSG00000137509	En
ENSG00000117450	En
ENSG00000167815	En
ENSG00000165672	En
ENSG00000123131	En
ENSG00000126432	En
ENSG00000117592	En
ENSG00000085377	En
ENSG00000138078	En
ENSG00000124126	En
ENSG00000046889	En
ENSG00000142875	En
ENSG00000108946	En
ENSG00000114302	En
ENSG00000005249	En
ENSG00000154229	En
ENSG00000166501	En
ENSG00000171132	En
ENSG00000126583	En
ENSG00000130175	En
ENSG00000253729	En
ENSG00000171867	En
ENSG00000100033	En
NA	En
ENSG00000147224	En
ENSG00000161542	En
ENSG00000141127	En
ENSG00000167371	En
ENSG00000163704	En
ENSG00000197746	En
ENSG00000135069	En
ENSG00000156011	En
ENSG00000129084	En
