Ensembl	symbol	KEGG
ENSG00000151729	SLC25A4	Calcium signaling pathway:KEGG-hsa04020
ENSG00000148660	CAMK2G	Calcium signaling pathway:KEGG-hsa04020
ENSG00000174437	ATP2A2	Calcium signaling pathway:KEGG-hsa04020
ENSG00000078668	VDAC3	Calcium signaling pathway:KEGG-hsa04020
ENSG00000169896	ITGAM	Amoebiasis:KEGG-hsa05146
ENSG00000105974	CAV1	Viral myocarditis:KEGG-hsa05416
ENSG00000234745	HLA-B	Viral myocarditis:KEGG-hsa05416
ENSG00000179218	CALR	Chagas disease (American trypanosomiasis):KEGG-hsa05142
ENSG00000234745	HLA-B	Graft-versus-host disease:KEGG-hsa05332
ENSG00000034713	GABARAPL2	Regulation of autophagy:KEGG-hsa04140
ENSG00000174437	ATP2A2	Dilated cardiomyopathy:KEGG-hsa05414
ENSG00000148660	CAMK2G	Gastric acid secretion:KEGG-hsa04971
ENSG00000157851	DPYSL5	Axon guidance:KEGG-hsa04360
ENSG00000072210	ALDH3A2	Tryptophan metabolism:KEGG-hsa00380
ENSG00000189221	MAOA	Tryptophan metabolism:KEGG-hsa00380
ENSG00000105953	OGDH	Tryptophan metabolism:KEGG-hsa00380
ENSG00000142173	COL6A2	Protein digestion and absorption:KEGG-hsa04974
ENSG00000142156	COL6A1	Protein digestion and absorption:KEGG-hsa04974
ENSG00000163359	COL6A3	Protein digestion and absorption:KEGG-hsa04974
ENSG00000118705	RPN2	N-Glycan biosynthesis:KEGG-hsa00510
ENSG00000163902	RPN1	N-Glycan biosynthesis:KEGG-hsa00510
ENSG00000089597	GANAB	N-Glycan biosynthesis:KEGG-hsa00510
ENSG00000105974	CAV1	Focal adhesion:KEGG-hsa04510
ENSG00000142173	COL6A2	Focal adhesion:KEGG-hsa04510
ENSG00000113721	PDGFRB	Focal adhesion:KEGG-hsa04510
ENSG00000146648	EGFR	Focal adhesion:KEGG-hsa04510
ENSG00000142156	COL6A1	Focal adhesion:KEGG-hsa04510
ENSG00000163359	COL6A3	Focal adhesion:KEGG-hsa04510
ENSG00000169896	ITGAM	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000154096	THY1	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000146648	EGFR	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120
ENSG00000148660	CAMK2G	Melanogenesis:KEGG-hsa04916
ENSG00000189221	MAOA	Phenylalanine metabolism:KEGG-hsa00360
ENSG00000149428	HYOU1	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000166598	HSP90B1	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000118705	RPN2	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000136731	UGGT1	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000074695	LMAN1	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000169223	LMAN2	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000179218	CALR	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000163902	RPN1	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000044574	HSPA5	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000127022	CANX	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000143870	PDIA6	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000089248	ERP29	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000089597	GANAB	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000130175	PRKCSH	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000155660	PDIA4	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000185624	P4HB	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000167004	PDIA3	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000239264	TXNDC5	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000044574	HSPA5	Prion diseases:KEGG-hsa05020
ENSG00000185813	PCYT2	Glycerophospholipid metabolism:KEGG-hsa00564
ENSG00000115159	GPD2	Glycerophospholipid metabolism:KEGG-hsa00564
ENSG00000072210	ALDH3A2	Histidine metabolism:KEGG-hsa00340
ENSG00000189221	MAOA	Histidine metabolism:KEGG-hsa00340
ENSG00000166598	HSP90B1	NOD-like receptor signaling pathway:KEGG-hsa04621
ENSG00000142173	COL6A2	ECM-receptor interaction:KEGG-hsa04512
ENSG00000142156	COL6A1	ECM-receptor interaction:KEGG-hsa04512
ENSG00000163359	COL6A3	ECM-receptor interaction:KEGG-hsa04512
ENSG00000149084	HSD17B12	Steroid hormone biosynthesis:KEGG-hsa00140
ENSG00000093010	COMT	Steroid hormone biosynthesis:KEGG-hsa00140
ENSG00000234745	HLA-B	Type I diabetes mellitus:KEGG-hsa04940
ENSG00000234745	HLA-B	Allograft rejection:KEGG-hsa05330
ENSG00000147604	RPL7	Ribosome:KEGG-hsa03010
ENSG00000174748	RPL15	Ribosome:KEGG-hsa03010
ENSG00000174444	RPL4	Ribosome:KEGG-hsa03010
ENSG00000117118	SDHB	Alzheimer's disease:KEGG-hsa05010
ENSG00000213619	NDUFS3	Alzheimer's disease:KEGG-hsa05010
ENSG00000178127	NDUFV2	Alzheimer's disease:KEGG-hsa05010
ENSG00000123384	LRP1	Alzheimer's disease:KEGG-hsa05010
ENSG00000135940	COX5B	Alzheimer's disease:KEGG-hsa05010
ENSG00000169021	UQCRFS1	Alzheimer's disease:KEGG-hsa05010
ENSG00000023228	NDUFS1	Alzheimer's disease:KEGG-hsa05010
ENSG00000147684	NDUFB9	Alzheimer's disease:KEGG-hsa05010
ENSG00000158864	NDUFS2	Alzheimer's disease:KEGG-hsa05010
ENSG00000010256	UQCRC1	Alzheimer's disease:KEGG-hsa05010
ENSG00000167792	NDUFV1	Alzheimer's disease:KEGG-hsa05010
ENSG00000131495	NDUFA2	Alzheimer's disease:KEGG-hsa05010
ENSG00000073578	SDHA	Alzheimer's disease:KEGG-hsa05010
ENSG00000128609	NDUFA5	Alzheimer's disease:KEGG-hsa05010
ENSG00000174437	ATP2A2	Alzheimer's disease:KEGG-hsa05010
ENSG00000168653	NDUFS5	Alzheimer's disease:KEGG-hsa05010
ENSG00000139180	NDUFA9	Alzheimer's disease:KEGG-hsa05010
ENSG00000126267	COX6B1	Alzheimer's disease:KEGG-hsa05010
ENSG00000156467	UQCRB	Alzheimer's disease:KEGG-hsa05010
ENSG00000131143	COX4I1	Alzheimer's disease:KEGG-hsa05010
ENSG00000179091	CYC1	Alzheimer's disease:KEGG-hsa05010
ENSG00000178741	COX5A	Alzheimer's disease:KEGG-hsa05010
ENSG00000140740	UQCRC2	Alzheimer's disease:KEGG-hsa05010
ENSG00000169896	ITGAM	Tuberculosis:KEGG-hsa05152
ENSG00000148660	CAMK2G	Tuberculosis:KEGG-hsa05152
ENSG00000260314	MRC1	Tuberculosis:KEGG-hsa05152
ENSG00000166598	HSP90B1	Pathways in cancer:KEGG-hsa05200
ENSG00000113721	PDGFRB	Pathways in cancer:KEGG-hsa05200
ENSG00000146648	EGFR	Pathways in cancer:KEGG-hsa05200
ENSG00000143819	EPHX1	Metabolism of xenobiotics by cytochrome P450:KEGG-hsa00980
ENSG00000241685	ARPC1A	Pathogenic Escherichia coli infection:KEGG-hsa05130
ENSG00000117118	SDHB	Parkinson's disease:KEGG-hsa05012
ENSG00000213619	NDUFS3	Parkinson's disease:KEGG-hsa05012
ENSG00000178127	NDUFV2	Parkinson's disease:KEGG-hsa05012
ENSG00000135940	COX5B	Parkinson's disease:KEGG-hsa05012
ENSG00000213585	VDAC1	Parkinson's disease:KEGG-hsa05012
ENSG00000169021	UQCRFS1	Parkinson's disease:KEGG-hsa05012
ENSG00000165637	VDAC2	Parkinson's disease:KEGG-hsa05012
ENSG00000151729	SLC25A4	Parkinson's disease:KEGG-hsa05012
ENSG00000023228	NDUFS1	Parkinson's disease:KEGG-hsa05012
ENSG00000147684	NDUFB9	Parkinson's disease:KEGG-hsa05012
ENSG00000158864	NDUFS2	Parkinson's disease:KEGG-hsa05012
ENSG00000010256	UQCRC1	Parkinson's disease:KEGG-hsa05012
ENSG00000167792	NDUFV1	Parkinson's disease:KEGG-hsa05012
ENSG00000131495	NDUFA2	Parkinson's disease:KEGG-hsa05012
ENSG00000073578	SDHA	Parkinson's disease:KEGG-hsa05012
ENSG00000128609	NDUFA5	Parkinson's disease:KEGG-hsa05012
ENSG00000168653	NDUFS5	Parkinson's disease:KEGG-hsa05012
ENSG00000139180	NDUFA9	Parkinson's disease:KEGG-hsa05012
ENSG00000126267	COX6B1	Parkinson's disease:KEGG-hsa05012
ENSG00000156467	UQCRB	Parkinson's disease:KEGG-hsa05012
ENSG00000131143	COX4I1	Parkinson's disease:KEGG-hsa05012
ENSG00000078668	VDAC3	Parkinson's disease:KEGG-hsa05012
ENSG00000179091	CYC1	Parkinson's disease:KEGG-hsa05012
ENSG00000178741	COX5A	Parkinson's disease:KEGG-hsa05012
ENSG00000140740	UQCRC2	Parkinson's disease:KEGG-hsa05012
ENSG00000109743	BST1	Nicotinate and nicotinamide metabolism:KEGG-hsa00760
ENSG00000146648	EGFR	Dorso-ventral axis formation:KEGG-hsa04320
ENSG00000109743	BST1	Pancreatic secretion:KEGG-hsa04972
ENSG00000174437	ATP2A2	Pancreatic secretion:KEGG-hsa04972
ENSG00000113721	PDGFRB	Cytokine-cytokine receptor interaction:KEGG-hsa04060
ENSG00000146648	EGFR	Cytokine-cytokine receptor interaction:KEGG-hsa04060
ENSG00000113721	PDGFRB	Gap junction:KEGG-hsa04540
ENSG00000146648	EGFR	Gap junction:KEGG-hsa04540
ENSG00000168959	GRM5	Gap junction:KEGG-hsa04540
ENSG00000113441	LNPEP	Renin-angiotensin system:KEGG-hsa04614
ENSG00000124126	PREX1	Chemokine signaling pathway:KEGG-hsa04062
ENSG00000072210	ALDH3A2	Valine, leucine and isoleucine degradation:KEGG-hsa00280
ENSG00000138029	HADHB	Valine, leucine and isoleucine degradation:KEGG-hsa00280
ENSG00000234745	HLA-B	Natural killer cell mediated cytotoxicity:KEGG-hsa04650
ENSG00000148660	CAMK2G	Wnt signaling pathway:KEGG-hsa04310
ENSG00000117118	SDHB	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000213619	NDUFS3	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000178127	NDUFV2	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000135940	COX5B	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000169021	UQCRFS1	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000023228	NDUFS1	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000147684	NDUFB9	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000158864	NDUFS2	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000010256	UQCRC1	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000167792	NDUFV1	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000131495	NDUFA2	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000073578	SDHA	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000128609	NDUFA5	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000168653	NDUFS5	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000139180	NDUFA9	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000126267	COX6B1	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000156467	UQCRB	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000131143	COX4I1	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000179091	CYC1	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000178741	COX5A	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000140740	UQCRC2	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000072210	ALDH3A2	Ascorbate and aldarate metabolism:KEGG-hsa00053
ENSG00000063046	EIF4B	mTOR signaling pathway:KEGG-hsa04150
