Ensembl	symbol	KEGG
ENSG00000125257	ABCC4	Bile secretion:KEGG-hsa04976
ENSG00000104067	TJP1	Adherens junction:KEGG-hsa04520
ENSG00000095637	SORBS1	Adherens junction:KEGG-hsa04520
ENSG00000104067	TJP1	Vibrio cholerae infection:KEGG-hsa05110
ENSG00000154229	PRKCA	Vibrio cholerae infection:KEGG-hsa05110
ENSG00000087460	GNAS	Vibrio cholerae infection:KEGG-hsa05110
ENSG00000108946	PRKAR1A	Insulin signaling pathway:KEGG-hsa04910
ENSG00000095637	SORBS1	Insulin signaling pathway:KEGG-hsa04910
ENSG00000104067	TJP1	Tight junction:KEGG-hsa04530
ENSG00000065135	GNAI3	Tight junction:KEGG-hsa04530
ENSG00000154229	PRKCA	Tight junction:KEGG-hsa04530
ENSG00000114353	GNAI2	Tight junction:KEGG-hsa04530
ENSG00000079819	EPB41L2	Tight junction:KEGG-hsa04530
ENSG00000126458	RRAS	Tight junction:KEGG-hsa04530
ENSG00000091409	ITGA6	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000204287	HLA-DRA	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000160255	ITGB2	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000261371	PECAM1	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000170558	CDH2	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000184144	CNTN2	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000206503	HLA-A	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000138448	ITGAV	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000081237	PTPRC	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000196126	HLA-DRB1	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000090339	ICAM1	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000150093	ITGB1	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000067141	NEO1	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000065135	GNAI3	Melanogenesis:KEGG-hsa04916
ENSG00000154229	PRKCA	Melanogenesis:KEGG-hsa04916
ENSG00000114353	GNAI2	Melanogenesis:KEGG-hsa04916
ENSG00000087460	GNAS	Melanogenesis:KEGG-hsa04916
ENSG00000156052	GNAQ	Melanogenesis:KEGG-hsa04916
ENSG00000117592	PRDX6	Phenylalanine metabolism:KEGG-hsa00360
ENSG00000069535	MAOB	Phenylalanine metabolism:KEGG-hsa00360
ENSG00000065135	GNAI3	Progesterone-mediated oocyte maturation:KEGG-hsa04914
ENSG00000114353	GNAI2	Progesterone-mediated oocyte maturation:KEGG-hsa04914
ENSG00000164303	ENPP6	Ether lipid metabolism:KEGG-hsa00565
ENSG00000129219	PLD2	Ether lipid metabolism:KEGG-hsa00565
ENSG00000082781	ITGB5	Phagosome:KEGG-hsa04145
ENSG00000204287	HLA-DRA	Phagosome:KEGG-hsa04145
ENSG00000005893	LAMP2	Phagosome:KEGG-hsa04145
ENSG00000150337	FCGR1A	Phagosome:KEGG-hsa04145
ENSG00000160255	ITGB2	Phagosome:KEGG-hsa04145
ENSG00000206503	HLA-A	Phagosome:KEGG-hsa04145
ENSG00000185896	LAMP1	Phagosome:KEGG-hsa04145
ENSG00000161638	ITGA5	Phagosome:KEGG-hsa04145
ENSG00000138448	ITGAV	Phagosome:KEGG-hsa04145
ENSG00000164171	ITGA2	Phagosome:KEGG-hsa04145
ENSG00000165168	CYBB	Phagosome:KEGG-hsa04145
ENSG00000196126	HLA-DRB1	Phagosome:KEGG-hsa04145
ENSG00000075785	RAB7A	Phagosome:KEGG-hsa04145
ENSG00000170458	CD14	Phagosome:KEGG-hsa04145
ENSG00000150093	ITGB1	Phagosome:KEGG-hsa04145
ENSG00000104067	TJP1	Gap junction:KEGG-hsa04540
ENSG00000065135	GNAI3	Gap junction:KEGG-hsa04540
ENSG00000154229	PRKCA	Gap junction:KEGG-hsa04540
ENSG00000114353	GNAI2	Gap junction:KEGG-hsa04540
ENSG00000088256	GNA11	Gap junction:KEGG-hsa04540
ENSG00000087460	GNAS	Gap junction:KEGG-hsa04540
ENSG00000152661	GJA1	Gap junction:KEGG-hsa04540
ENSG00000156052	GNAQ	Gap junction:KEGG-hsa04540
ENSG00000161638	ITGA5	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000150093	ITGB1	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000172115	CYCS	p53 signaling pathway:KEGG-hsa04115
ENSG00000128309	MPST	Cysteine and methionine metabolism:KEGG-hsa00270
ENSG00000204287	HLA-DRA	Systemic lupus erythematosus:KEGG-hsa05322
ENSG00000150337	FCGR1A	Systemic lupus erythematosus:KEGG-hsa05322
ENSG00000244731	C4A	Systemic lupus erythematosus:KEGG-hsa05322
ENSG00000196126	HLA-DRB1	Systemic lupus erythematosus:KEGG-hsa05322
ENSG00000024422	EHD2	Endocytosis:KEGG-hsa04144
ENSG00000126803	HSPA2	Endocytosis:KEGG-hsa04144
ENSG00000206503	HLA-A	Endocytosis:KEGG-hsa04144
ENSG00000185236	RAB11B	Endocytosis:KEGG-hsa04144
ENSG00000075785	RAB7A	Endocytosis:KEGG-hsa04144
ENSG00000129219	PLD2	Endocytosis:KEGG-hsa04144
ENSG00000095637	SORBS1	PPAR signaling pathway:KEGG-hsa03320
ENSG00000091409	ITGA6	Small cell lung cancer:KEGG-hsa05222
ENSG00000172115	CYCS	Small cell lung cancer:KEGG-hsa05222
ENSG00000138448	ITGAV	Small cell lung cancer:KEGG-hsa05222
ENSG00000164171	ITGA2	Small cell lung cancer:KEGG-hsa05222
ENSG00000005884	ITGA3	Small cell lung cancer:KEGG-hsa05222
ENSG00000150093	ITGB1	Small cell lung cancer:KEGG-hsa05222
ENSG00000065135	GNAI3	Long-term depression:KEGG-hsa04730
ENSG00000120063	GNA13	Long-term depression:KEGG-hsa04730
ENSG00000154229	PRKCA	Long-term depression:KEGG-hsa04730
ENSG00000114353	GNAI2	Long-term depression:KEGG-hsa04730
ENSG00000088256	GNA11	Long-term depression:KEGG-hsa04730
ENSG00000087460	GNAS	Long-term depression:KEGG-hsa04730
ENSG00000156052	GNAQ	Long-term depression:KEGG-hsa04730
ENSG00000128309	MPST	Sulfur relay system:KEGG-hsa04122
ENSG00000171885	AQP4	Vasopressin-regulated water reabsorption:KEGG-hsa04962
ENSG00000087460	GNAS	Vasopressin-regulated water reabsorption:KEGG-hsa04962
ENSG00000103496	STX4	Vasopressin-regulated water reabsorption:KEGG-hsa04962
