Ensembl	symbol	KEGG
ENSG00000123104	ITPR2	Calcium signaling pathway:KEGG-hsa04020
ENSG00000145349	CAMK2D	Olfactory transduction:KEGG-hsa04740
ENSG00000145349	CAMK2D	GnRH signaling pathway:KEGG-hsa04912
ENSG00000123104	ITPR2	GnRH signaling pathway:KEGG-hsa04912
ENSG00000111348	ARHGDIB	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000145349	CAMK2D	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000071242	RPS6KA2	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000148053	NTRK2	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000173599	PC	Pyruvate metabolism:KEGG-hsa00620
ENSG00000259207	ITGB3	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000065534	MYLK	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000254999	BRK1	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000113578	FGF1	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000154380	ENAH	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000133818	RRAS2	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000100031	GGT1	Cyanoamino acid metabolism:KEGG-hsa00460
ENSG00000108479	GALK1	Galactose metabolism:KEGG-hsa00052
ENSG00000100033	PRODH	Arginine and proline metabolism:KEGG-hsa00330
ENSG00000115415	STAT1	Hepatitis C:KEGG-hsa05160
ENSG00000115415	STAT1	Chemokine signaling pathway:KEGG-hsa04062
ENSG00000115415	STAT1	Toxoplasmosis:KEGG-hsa05145
ENSG00000108179	PPIF	Toxoplasmosis:KEGG-hsa05145
ENSG00000197170	PSMD12	Proteasome:KEGG-hsa03050
ENSG00000089041	P2RX7	Neuroactive ligand-receptor interaction:KEGG-hsa04080
ENSG00000120251	GRIA2	Neuroactive ligand-receptor interaction:KEGG-hsa04080
ENSG00000119711	ALDH6A1	Propanoate metabolism:KEGG-hsa00640
ENSG00000223609	HBD	Malaria:KEGG-hsa05144
ENSG00000206172	HBA1	Malaria:KEGG-hsa05144
ENSG00000244734	HBB	Malaria:KEGG-hsa05144
ENSG00000124357	NAGK	Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520
ENSG00000108479	GALK1	Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520
ENSG00000173540	GMPPB	Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520
ENSG00000197894	ADH5	Fatty acid metabolism:KEGG-hsa00071
ENSG00000065534	MYLK	Vascular smooth muscle contraction:KEGG-hsa04270
ENSG00000123104	ITPR2	Vascular smooth muscle contraction:KEGG-hsa04270
ENSG00000115415	STAT1	Toll-like receptor signaling pathway:KEGG-hsa04620
ENSG00000259207	ITGB3	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410
ENSG00000105409	ATP1A3	Salivary secretion:KEGG-hsa04970
ENSG00000101439	CST3	Salivary secretion:KEGG-hsa04970
ENSG00000123104	ITPR2	Salivary secretion:KEGG-hsa04970
ENSG00000143153	ATP1B1	Salivary secretion:KEGG-hsa04970
ENSG00000129244	ATP1B2	Salivary secretion:KEGG-hsa04970
ENSG00000259207	ITGB3	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000160200	CBS	Glycine, serine and threonine metabolism:KEGG-hsa00260
ENSG00000016391	CHDH	Glycine, serine and threonine metabolism:KEGG-hsa00260
ENSG00000117394	SLC2A1	Renal cell carcinoma:KEGG-hsa05211
ENSG00000113578	FGF1	Melanoma:KEGG-hsa05218
ENSG00000156709	AIFM1	Apoptosis:KEGG-hsa04210
ENSG00000197894	ADH5	Drug metabolism - cytochrome P450:KEGG-hsa00982
ENSG00000134184	GSTM1	Drug metabolism - cytochrome P450:KEGG-hsa00982
ENSG00000197894	ADH5	Tyrosine metabolism:KEGG-hsa00350
ENSG00000117394	SLC2A1	Bile secretion:KEGG-hsa04976
ENSG00000105409	ATP1A3	Bile secretion:KEGG-hsa04976
ENSG00000143153	ATP1B1	Bile secretion:KEGG-hsa04976
ENSG00000129244	ATP1B2	Bile secretion:KEGG-hsa04976
ENSG00000105409	ATP1A3	Cardiac muscle contraction:KEGG-hsa04260
ENSG00000143153	ATP1B1	Cardiac muscle contraction:KEGG-hsa04260
ENSG00000129244	ATP1B2	Cardiac muscle contraction:KEGG-hsa04260
ENSG00000105409	ATP1A3	Proximal tubule bicarbonate reclamation:KEGG-hsa04964
