Ensembl ID	ChEMBL ID
ENSG00000089685	CHEMBL5989
ENSG00000090020	CHEMBL2781
ENSG00000090054	CHEMBL1250343
ENSG00000090061	CHEMBL3038475
ENSG00000090266	CHEMBL2363065
ENSG00000090339	CHEMBL2096661
ENSG00000090376	CHEMBL5081
ENSG00000090402	CHEMBL2748
ENSG00000090534	CHEMBL1293256
ENSG00000090621	CHEMBL5333
ENSG00000090659	CHEMBL1795114
ENSG00000090861	CHEMBL3574
ENSG00000090889	CHEMBL6163
ENSG00000091128	CHEMBL2364187
ENSG00000091136	CHEMBL2364187
ENSG00000091262	CHEMBL2073661
ENSG00000091409	CHEMBL3716
ENSG00000091428	CHEMBL2029198
ENSG00000091436	CHEMBL3886
ENSG00000091513	CHEMBL4865
ENSG00000091592	CHEMBL1741214
ENSG00000091704	CHEMBL2088
ENSG00000091831	CHEMBL2093866
ENSG00000092009	CHEMBL4068
ENSG00000092199	CHEMBL2216742
ENSG00000092295	CHEMBL2810
ENSG00000092439	CHEMBL1250412
ENSG00000092445	CHEMBL5314
ENSG00000092621	CHEMBL2311243
ENSG00000092820	CHEMBL1932896
ENSG00000093009	CHEMBL3040
ENSG00000093010	CHEMBL2023
ENSG00000094631	CHEMBL2093865
ENSG00000094755	CHEMBL2093872
ENSG00000094804	CHEMBL2311228
ENSG00000095015	CHEMBL3956
ENSG00000095059	CHEMBL4415
ENSG00000095303	CHEMBL221
ENSG00000095321	CHEMBL3184
ENSG00000095464	CHEMBL2363066
ENSG00000095596	CHEMBL5141
ENSG00000095777	CHEMBL5546
ENSG00000095917	CHEMBL2095193
ENSG00000095951	CHEMBL2909
ENSG00000096060	CHEMBL2052031
ENSG00000096063	CHEMBL4375
ENSG00000096088	CHEMBL2136
ENSG00000096171	CHEMBL2612
ENSG00000096384	CHEMBL2095165
ENSG00000096433	CHEMBL2111451
ENSG00000096717	CHEMBL4506
ENSG00000096968	CHEMBL2971
ENSG00000097007	CHEMBL1862
ENSG00000097046	CHEMBL2111377
ENSG00000099139	CHEMBL2826
ENSG00000099194	CHEMBL5555
ENSG00000099250	CHEMBL5174
ENSG00000099308	CHEMBL2417352
ENSG00000099617	CHEMBL1795109
ENSG00000099795	CHEMBL2363065
ENSG00000099810	CHEMBL4941
ENSG00000099822	CHEMBL1795172
ENSG00000099866	CHEMBL4467
ENSG00000099875	CHEMBL4204
ENSG00000099953	CHEMBL2867
ENSG00000099957	CHEMBL2670
ENSG00000100030	CHEMBL4040
ENSG00000100031	CHEMBL5696
ENSG00000100077	CHEMBL1075166
ENSG00000100078	CHEMBL4667
ENSG00000100079	CHEMBL5977
ENSG00000100097	CHEMBL4915
ENSG00000100170	CHEMBL4979
ENSG00000100191	CHEMBL1770047
ENSG00000100197	CHEMBL289
ENSG00000100219	CHEMBL1741176
ENSG00000100243	CHEMBL2146
ENSG00000100292	CHEMBL2823
ENSG00000100299	CHEMBL2193
ENSG00000100300	CHEMBL5742
ENSG00000100307	CHEMBL1764946
ENSG00000100312	CHEMBL2738
ENSG00000100324	CHEMBL5605
ENSG00000100345	CHEMBL2189151
ENSG00000100346	CHEMBL5558
ENSG00000100348	CHEMBL2189153
ENSG00000100368	CHEMBL2364169
ENSG00000100385	CHEMBL3276
ENSG00000100393	CHEMBL3784
ENSG00000100422	CHEMBL1764936
ENSG00000100425	CHEMBL2176774
ENSG00000100429	CHEMBL2093865
ENSG00000100433	CHEMBL2331041
ENSG00000100442	CHEMBL4746
ENSG00000100448	CHEMBL4071
ENSG00000100453	CHEMBL2316
ENSG00000100462	CHEMBL1795116
ENSG00000100490	CHEMBL5789
ENSG00000100504	CHEMBL2568
ENSG00000100567	CHEMBL2364701
ENSG00000100577	CHEMBL4949
ENSG00000100596	CHEMBL1250344
ENSG00000100600	CHEMBL4244
ENSG00000100605	CHEMBL1938220
ENSG00000100614	CHEMBL2437
ENSG00000100644	CHEMBL4261
ENSG00000100652	CHEMBL5287
ENSG00000100697	CHEMBL2311232
ENSG00000100714	CHEMBL2541
ENSG00000100739	CHEMBL4308
ENSG00000100749	CHEMBL1293199
