Ensembl ID	Uniprot_gn_trans_name ID
ENSG00000003147	ICA1-003
ENSG00000003147	ICA1-004
ENSG00000003147	ICA1-005
ENSG00000003147	ICA1-006
ENSG00000003147	ICA1-007
ENSG00000003147	ICA1-008
ENSG00000003147	ICA1-009
ENSG00000003147	ICA1-010
ENSG00000003147	ICA1-011
ENSG00000003147	ICA1-012
ENSG00000003147	ICA1-013
ENSG00000003147	ICA1-014
ENSG00000003147	ICA1-015
ENSG00000003147	ICA1-016
ENSG00000003147	ICA1-201
ENSG00000003147	ICA1-202
ENSG00000003147	ICAP69
ENSG00000003147	UPI0000000563
ENSG00000003147	UPI0000000588
ENSG00000003147	UPI0000070538
ENSG00000003147	UPI000012D139
ENSG00000003147	UPI0000EE42F7
ENSG00000003147	UPI000173A1F1
ENSG00000003147	UPI000173A1F2
ENSG00000003147	UPI000173A1F3
ENSG00000003147	UPI000173A1F4
ENSG00000003147	UPI000173A1F5
ENSG00000003147	UPI000173A1F6
ENSG00000003147	UPI000173A1F7
ENSG00000003249	DBNDD1
ENSG00000003249	MGC3101
ENSG00000003249	MGC3101-001
ENSG00000003249	MGC3101-002
ENSG00000003249	MGC3101-003
ENSG00000003249	MGC3101-004
ENSG00000003249	MGC3101-005
ENSG00000003249	MGC3101-006
ENSG00000003249	MGC3101-007
ENSG00000003249	UPI000013E9B9
ENSG00000003249	UPI00001FF7A5
ENSG00000003249	UPI000037432A
ENSG00000003249	UPI00017A7806
ENSG00000003249	UPI00024672A6
ENSG00000003393	ALS2
ENSG00000003393	ALS2-001
ENSG00000003393	ALS2-002
ENSG00000003393	ALS2-003
ENSG00000003393	ALS2-004
ENSG00000003393	ALS2-005
ENSG00000003393	ALS2-006
ENSG00000003393	ALS2-007
ENSG00000003393	ALS2-008
ENSG00000003393	ALS2-009
ENSG00000003393	ALS2-010
ENSG00000003393	ALS2-011
ENSG00000003393	ALS2-012
ENSG00000003393	UPI00002093C5
ENSG00000003393	UPI0000231C77
ENSG00000003393	UPI00018819C0
ENSG00000003393	UPI00018819C2
ENSG00000003393	UPI000198C66C
ENSG00000003400	CASP10
ENSG00000003400	CASP10-001
ENSG00000003400	CASP10-002
ENSG00000003400	CASP10-003
ENSG00000003400	CASP10-004
ENSG00000003400	CASP10-005
ENSG00000003400	CASP10-006
ENSG00000003400	CASP10-007
ENSG00000003400	CASP10-009
ENSG00000003400	CASP10-010
ENSG00000003400	CASP10-011
ENSG00000003400	CASP10-012
ENSG00000003400	CASP10-013
ENSG00000003400	CASP10-201
ENSG00000003400	UPI000002ABA4
ENSG00000003400	UPI000004466C
ENSG00000003400	UPI0000074732
ENSG00000003400	UPI000013CA28
ENSG00000003400	UPI0000367D6F
ENSG00000003400	UPI0000421EE8
ENSG00000003400	UPI0000425EF9
ENSG00000003400	UPI0000E07CFD
ENSG00000003402	CFLAR
ENSG00000003402	CFLAR-001
ENSG00000003402	CFLAR-002
ENSG00000003402	CFLAR-003
ENSG00000003402	CFLAR-005
ENSG00000003402	CFLAR-006
ENSG00000003402	CFLAR-007
ENSG00000003402	CFLAR-008
ENSG00000003402	CFLAR-009
ENSG00000003402	CFLAR-010
ENSG00000003402	CFLAR-011
ENSG00000003402	CFLAR-012
ENSG00000003402	CFLAR-014
ENSG00000003402	CFLAR-015
ENSG00000003402	CFLAR-016
ENSG00000003402	CFLAR-017
ENSG00000003402	CFLAR-018
ENSG00000003402	CFLAR-019
ENSG00000003402	CFLAR-020
ENSG00000003402	CFLAR-021
ENSG00000003402	CFLAR-022
ENSG00000003402	CFLAR-023
ENSG00000003402	CFLAR-024
ENSG00000003402	CFLAR-026
ENSG00000003402	CFLAR-027
ENSG00000003402	CFLAR-201
ENSG00000003402	UPI0000001039
ENSG00000003402	UPI000002A636
ENSG00000003402	UPI000002A63B
ENSG00000003402	UPI000002A63E
ENSG00000003402	UPI000002A63F
ENSG00000003402	UPI0000030475
ENSG00000003402	UPI000013C973
ENSG00000003402	UPI0001639511
ENSG00000003402	UPI00017A71FB
ENSG00000003402	UPI0001891D3D
ENSG00000003402	UPI000198C6B2
ENSG00000003402	UPI000198C6B3
ENSG00000003402	UPI000198C6B4
ENSG00000003402	UPI000198C6B5
ENSG00000003402	UPI0002A47308
ENSG00000003402	UPI0002A47392
ENSG00000003402	UPI0002A4748C
ENSG00000003436	TFPI
ENSG00000003436	TFPI-001
ENSG00000003436	TFPI-002
ENSG00000003436	TFPI-003
ENSG00000003436	TFPI-004
ENSG00000003436	TFPI-005
ENSG00000003436	TFPI-006
ENSG00000003436	TFPI-007
ENSG00000003436	TFPI-008
ENSG00000003436	TFPI-009
ENSG00000003436	TFPI-010
ENSG00000003436	TFPI-011
ENSG00000003436	TFPI-012
ENSG00000003436	TFPI-201
ENSG00000003436	UPI000002B533
ENSG00000003436	UPI0000136C8F
ENSG00000003436	UPI0001881996
ENSG00000003436	UPI0001881997
ENSG00000003436	UPI0001881998
ENSG00000003436	UPI0001881999
ENSG00000003436	UPI000188199A
ENSG00000003436	UPI000188199B
ENSG00000003509	NDUFAF7
ENSG00000003509	NDUFAF7-001
ENSG00000003509	NDUFAF7-002
ENSG00000003509	NDUFAF7-003
ENSG00000003509	NDUFAF7-004
ENSG00000003509	NDUFAF7-006
ENSG00000003509	NDUFAF7-007
ENSG00000003509	NDUFAF7-008
ENSG00000003509	NDUFAF7-009
ENSG00000003509	NDUFAF7-010
ENSG00000003509	NDUFAF7-011
ENSG00000003509	NDUFAF7-012
ENSG00000003509	NDUFAF7-013
ENSG00000003509	NDUFAF7-014
ENSG00000003509	UPI000004A041
ENSG00000003509	UPI00001A9D6C
ENSG00000003509	UPI000173A50E
ENSG00000003509	UPI000173A50F
ENSG00000003509	UPI000173A510
ENSG00000003509	UPI000173A511
ENSG00000003509	UPI000173A512
ENSG00000003509	UPI000173A513
ENSG00000003756	RBM5
