Ensembl ID	miRBase ID
ENSG00000208009	MI0000448
ENSG00000208012	MI0000068
ENSG00000208013	MI0003667
ENSG00000208014	MI0003674
ENSG00000208015	MI0000762
ENSG00000208016	MI0003153
ENSG00000208017	MI0000456
ENSG00000208018	MI0003660
ENSG00000208022	MI0003632
ENSG00000208023	MI0000482
ENSG00000208024	MI0000281
ENSG00000208025	MI0003603
ENSG00000208027	MI0002469
ENSG00000208028	MI0003629
ENSG00000208032	MI0003612
ENSG00000208033	MI0003622
ENSG00000208034	MI0000094
ENSG00000208035	MI0000459
ENSG00000208036	MI0000734
ENSG00000208037	MI0000542
ENSG00000208038	MI0003131
ENSG00000210741	MI0000238
ENSG00000211137	MI0000486
ENSG00000211491	MI0008190
ENSG00000211513	MI0014234
ENSG00000211514	MI0003820
ENSG00000211517	MI0003760
ENSG00000211519	MI0005544
ENSG00000211520	MI0005569
ENSG00000211524	MI0012489
ENSG00000211532	MI0003168
ENSG00000211535	MI0012488
ENSG00000211538	MI0003185
ENSG00000211543	MI0003776
ENSG00000211563	MI0000814
ENSG00000211563	MI0014228
ENSG00000211568	MI0003933
ENSG00000211574	MI0005118
ENSG00000211575	MI0005567
ENSG00000211578	MI0003836
ENSG00000211579	MI0004065
ENSG00000211580	MI0003834
ENSG00000211581	MI0005116
ENSG00000211582	MI0003757
ENSG00000211583	MI0003763
ENSG00000211590	MI0003906
ENSG00000211591	MI0003892
ENSG00000211991	MI0016436
ENSG00000211997	MI0005543
ENSG00000212013	MI0005530
ENSG00000212014	MI0005717
ENSG00000212017	MI0014168
ENSG00000212024	MI0003762
ENSG00000212027	MI0005566
ENSG00000212027	MI0016684
ENSG00000212040	MI0005565
ENSG00000212051	MI0008191
ENSG00000212076	MI0003941
ENSG00000212100	MI0003944
ENSG00000212102	MI0005568
ENSG00000215417	MI0000071
ENSG00000215417	MI0000072
ENSG00000215417	MI0000073
ENSG00000215417	MI0000074
ENSG00000215417	MI0000076
ENSG00000215417	MI0000093
ENSG00000215930	MI0005767
ENSG00000215938	MI0005545
ENSG00000215939	MI0005564
ENSG00000215943	MI0005528
ENSG00000215946	MI0005763
ENSG00000215952	MI0005713
ENSG00000215957	MI0005525
ENSG00000215961	MI0005775
ENSG00000215966	MI0005542
ENSG00000215973	MI0005755
ENSG00000215991	MI0005570
ENSG00000215998	MI0005757
ENSG00000216001	MI0005531
ENSG00000216005	MI0005537
ENSG00000216009	MI0005532
ENSG00000216031	MI0005523
ENSG00000216035	MI0005760
ENSG00000216042	MI0005714
ENSG00000216056	MI0005524
