Ensembl ID	Vega_gene ID
ENSG00000011677	OTTHUMG00000024183
ENSG00000012048	OTTHUMG00000157426
ENSG00000012061	OTTHUMG00000182121
ENSG00000012124	OTTHUMG00000183298
ENSG00000012171	OTTHUMG00000156970
ENSG00000012174	OTTHUMG00000021237
ENSG00000012211	OTTHUMG00000024134
ENSG00000012223	OTTHUMG00000156325
ENSG00000012232	OTTHUMG00000102146
ENSG00000012504	OTTHUMG00000170359
ENSG00000012660	OTTHUMG00000016249
ENSG00000012779	OTTHUMG00000018081
ENSG00000012817	OTTHUMG00000036508
ENSG00000012822	OTTHUMG00000170095
ENSG00000012963	OTTHUMG00000171268
ENSG00000012983	OTTHUMG00000170888
ENSG00000013016	OTTHUMG00000099365
ENSG00000013275	OTTHUMG00000182577
ENSG00000013288	OTTHUMG00000160073
ENSG00000013293	OTTHUMG00000158941
ENSG00000013297	OTTHUMG00000158940
ENSG00000013306	OTTHUMG00000132628
ENSG00000013364	OTTHUMG00000048227
ENSG00000013374	OTTHUMG00000157365
ENSG00000013375	OTTHUMG00000015110
ENSG00000013392	OTTHUMG00000015109
ENSG00000013441	OTTHUMG00000132784
ENSG00000013503	OTTHUMG00000170077
ENSG00000013523	OTTHUMG00000171494
ENSG00000013561	OTTHUMG00000129660
ENSG00000013563	OTTHUMG00000033188
ENSG00000013573	OTTHUMG00000168435
ENSG00000013583	OTTHUMG00000168771
ENSG00000013588	OTTHUMG00000168710
ENSG00000013619	OTTHUMG00000024157
ENSG00000013725	OTTHUMG00000167823
ENSG00000013810	OTTHUMG00000089535
ENSG00000014123	OTTHUMG00000015238
ENSG00000014138	OTTHUMG00000165951
ENSG00000014164	OTTHUMG00000165127
ENSG00000014216	OTTHUMG00000165614
ENSG00000014257	OTTHUMG00000159650
ENSG00000014641	OTTHUMG00000129512
ENSG00000014824	OTTHUMG00000099387
ENSG00000014914	OTTHUMG00000012207
ENSG00000014919	OTTHUMG00000018893
ENSG00000015133	OTTHUMG00000171099
ENSG00000015153	OTTHUMG00000169380
ENSG00000015171	OTTHUMG00000017526
ENSG00000015285	OTTHUMG00000034483
ENSG00000015413	OTTHUMG00000138052
ENSG00000015475	OTTHUMG00000150087
ENSG00000015479	OTTHUMG00000129229
ENSG00000015520	OTTHUMG00000023691
ENSG00000015532	OTTHUMG00000162057
ENSG00000015568	OTTHUMG00000130985
ENSG00000015592	OTTHUMG00000099461
ENSG00000015676	OTTHUMG00000129174
ENSG00000016082	OTTHUMG00000162281
ENSG00000016391	OTTHUMG00000158281
ENSG00000016402	OTTHUMG00000015654
ENSG00000016490	OTTHUMG00000010254
ENSG00000016602	OTTHUMG00000010260
ENSG00000016864	OTTHUMG00000158759
ENSG00000017260	OTTHUMG00000136802
ENSG00000017427	OTTHUMG00000149910
ENSG00000017483	OTTHUMG00000024117
ENSG00000017797	OTTHUMG00000131596
ENSG00000018189	OTTHUMG00000129910
ENSG00000018236	OTTHUMG00000169362
ENSG00000018280	OTTHUMG00000086747
ENSG00000018408	OTTHUMG00000159614
ENSG00000018510	OTTHUMG00000132530
ENSG00000018607	OTTHUMG00000153932
ENSG00000018610	OTTHUMG00000022276
ENSG00000018625	OTTHUMG00000024080
ENSG00000018699	OTTHUMG00000152134
ENSG00000018869	OTTHUMG00000181939
ENSG00000019102	OTTHUMG00000150357
ENSG00000019144	OTTHUMG00000166341
