Ensembl ID	EntrezGene_trans_name ID
ENSG00000260220	MGC50722-001
ENSG00000260220	MGC50722-002
ENSG00000260220	MGC50722-003
ENSG00000260220	MGC50722-004
ENSG00000260539	GLG1-001
ENSG00000260804	PKI55-001
ENSG00000261024	GS1-279B7.1-001
ENSG00000261024	GS1-279B7.1-002
ENSG00000261024	GS1-279B7.1-003
ENSG00000261122	FLJ26245-001
ENSG00000261122	FLJ26245-002
ENSG00000261122	FLJ26245-003
ENSG00000261229	MTHFS-001
ENSG00000261229	MTHFS-201
ENSG00000261229	MTHFS-202
ENSG00000261275	DKFZp434L192-001
ENSG00000261439	DKFZP434H168-001
ENSG00000261613	FLJ42627-001
ENSG00000262075	DKFZP434A062-001
ENSG00000262075	DKFZP434A062-201
ENSG00000262408	MTVR2-001
ENSG00000262435	WASH7P-001
ENSG00000264404	LINC00864-001
ENSG00000264404	LINC00864-002
ENSG00000264577	SNORD4A-001
ENSG00000265544	AA06-001
ENSG00000266709	MGC12916-001
ENSG00000267254	ZNF790-AS1-001
ENSG00000267254	ZNF790-AS1-002
ENSG00000267254	ZNF790-AS1-003
ENSG00000267254	ZNF790-AS1-004
ENSG00000267313	KC6-001
ENSG00000267313	KC6-002
ENSG00000267313	KC6-003
ENSG00000267313	KC6-004
ENSG00000267313	KC6-005
ENSG00000267313	KC6-006
ENSG00000267313	KC6-007
ENSG00000267313	KC6-008
ENSG00000267313	KC6-009
ENSG00000267719	HP09025-001
ENSG00000267733	C18orf61-001
ENSG00000267733	C18orf61-002
ENSG00000267733	C18orf61-003
ENSG00000267733	C18orf61-004
ENSG00000267733	C18orf61-005
ENSG00000268460	DKFZp434J0226-001
ENSG00000268460	DKFZp434J0226-002
ENSG00000268460	DKFZp434J0226-003
ENSG00000268592	RAET1E-AS1-001
ENSG00000268723	DESI2-001
ENSG00000269761	FLJ25758-001
ENSG00000270087	ZNF503-001
ENSG00000270087	ZNF503-002
ENSG00000270127	PRKXP1-001
ENSG00000270580	PKD1P6-001
ENSG00000270580	PKD1P6-002
ENSG00000270751	DEAR-001
ENSG00000270823	MIR335-001
ENSG00000271181	STMN3-001
