Ensembl ID	RefSeq_mRNA_predicted ID
ENSG00000008056	NM_133499
ENSG00000008083	NM_001267040
ENSG00000008083	NM_004973
ENSG00000008083	XM_005249089
ENSG00000008086	NM_001037343
ENSG00000008086	NM_003159
ENSG00000008086	XM_006724511
ENSG00000008118	NM_020439
ENSG00000008128	NM_024011
ENSG00000008128	NM_033529
ENSG00000008128	XM_006711065
ENSG00000008130	NM_001198993
ENSG00000008130	NM_001198994
ENSG00000008130	NM_001198995
ENSG00000008130	NM_023018
ENSG00000008130	XM_005244778
ENSG00000008130	XM_006710837
ENSG00000008130	XM_006710838
ENSG00000008196	NM_003221
ENSG00000008196	XM_006715178
ENSG00000008197	NM_172238
ENSG00000008226	NM_007335
ENSG00000008226	NM_007337
ENSG00000008226	XM_005265630
ENSG00000008226	XM_005265631
ENSG00000008226	XM_006713439
ENSG00000008226	XM_006713440
ENSG00000008226	XM_006713441
ENSG00000008256	NM_004227
ENSG00000008277	NM_004194
ENSG00000008277	NM_016351
ENSG00000008277	NM_021721
ENSG00000008277	NM_021722
ENSG00000008277	NM_021723
ENSG00000008282	NM_006754
ENSG00000008282	NM_182715
ENSG00000008283	NM_001017916
ENSG00000008283	NM_001017917
ENSG00000008283	NM_001915
ENSG00000008283	XM_005257090
ENSG00000008283	XM_005257091
ENSG00000008283	XM_005257092
ENSG00000008283	XM_006721727
ENSG00000008294	NM_001130527
ENSG00000008294	NM_001130528
ENSG00000008294	NM_001251971
ENSG00000008294	NM_003971
ENSG00000008294	XM_005257769
ENSG00000008294	XM_005257773
ENSG00000008294	XM_005257774
ENSG00000008294	XM_006722163
ENSG00000008300	NM_001407
ENSG00000008311	NM_005763
ENSG00000008323	NM_001144856
ENSG00000008323	NM_001144857
ENSG00000008323	NM_018173
ENSG00000008323	XM_005253704
ENSG00000008324	NM_016305
ENSG00000008382	NM_001159846
ENSG00000008382	NM_001300862
ENSG00000008382	NM_032868
ENSG00000008382	XM_005259663
ENSG00000008382	XM_006722926
ENSG00000008394	NM_001260511
ENSG00000008394	NM_001267598
ENSG00000008394	NM_020300
ENSG00000008394	NM_145764
ENSG00000008394	NM_145791
ENSG00000008394	NM_145792
ENSG00000008405	NM_004075
ENSG00000008438	NM_005091
ENSG00000008441	NM_001271043
ENSG00000008441	NM_001271044
ENSG00000008441	NM_002501
ENSG00000008441	XM_006722760
ENSG00000008513	NM_003033
ENSG00000008513	NM_173344
ENSG00000008513	XM_005251023
ENSG00000008513	XM_005251024
ENSG00000008513	XM_005251025
ENSG00000008513	XM_006716617
ENSG00000008516	NM_022468
ENSG00000008517	NM_001012631
ENSG00000008517	NM_001012632
ENSG00000008517	NM_001012633
ENSG00000008517	NM_001012634
ENSG00000008517	NM_001012635
ENSG00000008517	NM_001012636
ENSG00000008517	NM_001012718
ENSG00000008517	NM_004221
ENSG00000008517	XM_005255686
ENSG00000008710	NM_000296
ENSG00000008710	NM_001009944
ENSG00000008710	XM_005255370
ENSG00000008710	XR_430447
ENSG00000008710	XR_433709
ENSG00000008735	NM_012324
ENSG00000008735	NM_016431
ENSG00000008838	NM_001079518
ENSG00000008838	NM_001267797
ENSG00000008838	NM_014815
ENSG00000008838	NR_106944
ENSG00000008838	XM_005257872
ENSG00000008838	XM_005257873
ENSG00000008838	XM_005257874
ENSG00000008838	XM_006722204
ENSG00000008838	XM_006722206
ENSG00000008838	XM_006722207
ENSG00000008853	NM_001160036
ENSG00000008853	NM_001160037
ENSG00000008853	NM_015178
ENSG00000008853	XM_006716315
ENSG00000008869	NM_019024
ENSG00000008869	XM_005264379
ENSG00000008869	XM_006712034
ENSG00000008869	XM_006712035
ENSG00000008952	NM_003262
ENSG00000008988	NM_001023
ENSG00000008988	NM_001146227
ENSG00000008988	NR_002437
ENSG00000009307	NM_001007553
ENSG00000009307	NM_001130523
ENSG00000009307	NM_001242891
ENSG00000009307	NM_001242892
ENSG00000009307	NM_001242893
ENSG00000009307	NM_007158
ENSG00000009335	NM_014671
ENSG00000009335	XM_005249564
ENSG00000009413	NM_001286431
ENSG00000009413	NM_001286432
ENSG00000009413	NM_002912
ENSG00000009413	XM_005267090
ENSG00000009413	XM_005267091
ENSG00000009413	XM_006715543
ENSG00000009413	XM_006715544
ENSG00000009694	NM_001163278
ENSG00000009694	NM_001163279
ENSG00000009694	NM_014253
ENSG00000009694	XM_006724725
ENSG00000009709	NM_001135254
ENSG00000009709	NM_002584
ENSG00000009709	NM_013945
ENSG00000009709	XM_005245884
ENSG00000009724	NM_006610
ENSG00000009724	NM_139208
ENSG00000009765	NM_001164694
ENSG00000009765	NM_001164695
ENSG00000009765	NM_203395
ENSG00000009765	XM_006715478
ENSG00000009780	NM_001143912
ENSG00000009780	NM_001143913
ENSG00000009780	NM_001143914
ENSG00000009780	NM_001143915
ENSG00000009780	NM_152660
ENSG00000009790	NM_001287754
ENSG00000009790	NM_025228
ENSG00000009830	NM_013382
ENSG00000009844	NM_001286371
ENSG00000009844	NM_001286372
ENSG00000009844	NM_016485
ENSG00000009950	NM_032951
ENSG00000009950	NM_032952
ENSG00000009950	NM_032953
ENSG00000009950	NM_032954
ENSG00000009950	XM_005250399
ENSG00000009954	NM_032408
ENSG00000009954	XM_005250683
ENSG00000010017	NM_005493
ENSG00000010017	XM_006714945
ENSG00000010030	NM_001207035
ENSG00000010030	NM_001207036
ENSG00000010030	NM_001207037
ENSG00000010030	NM_001207038
ENSG00000010030	NM_001207039
ENSG00000010030	NM_001207040
ENSG00000010030	NM_001207041
ENSG00000010030	NM_016135
ENSG00000010072	NM_001010984
ENSG00000010072	NM_001261462
ENSG00000010072	NM_032018
ENSG00000010165	NM_001007239
ENSG00000010165	NM_014955
ENSG00000010165	NM_015935
ENSG00000010219	NM_001282285
ENSG00000010219	NM_001282286
ENSG00000010219	NM_003845
ENSG00000010219	NR_104115
ENSG00000010244	NM_001032293
ENSG00000010244	NM_001098507
ENSG00000010244	NM_003457
ENSG00000010244	XM_005258028
ENSG00000010244	XM_005258029
ENSG00000010244	XM_005258030
ENSG00000010256	NM_003365
