GeneID	EntrezGene	Pathway
2308	L	Pathways in cancer:KEGG-hsa05200
2308	L	Prostate cancer:KEGG-hsa05215
4729	L	Alzheimer's disease:KEGG-hsa05010
4729	L	Huntington's disease:KEGG-hsa05016
4729	L	Oxidative phosphorylation:KEGG-hsa00190
4729	L	Parkinson's disease:KEGG-hsa05012
4728	L	Alzheimer's disease:KEGG-hsa05010
4728	L	Huntington's disease:KEGG-hsa05016
4728	L	Oxidative phosphorylation:KEGG-hsa00190
4728	L	Parkinson's disease:KEGG-hsa05012
4725	L	Alzheimer's disease:KEGG-hsa05010
4725	L	Huntington's disease:KEGG-hsa05016
4725	L	Oxidative phosphorylation:KEGG-hsa00190
4725	L	Parkinson's disease:KEGG-hsa05012
4724	L	Alzheimer's disease:KEGG-hsa05010
4724	L	Huntington's disease:KEGG-hsa05016
4724	L	Oxidative phosphorylation:KEGG-hsa00190
4724	L	Parkinson's disease:KEGG-hsa05012
4726	L	Alzheimer's disease:KEGG-hsa05010
4726	L	Huntington's disease:KEGG-hsa05016
4726	L	Oxidative phosphorylation:KEGG-hsa00190
4726	L	Parkinson's disease:KEGG-hsa05012
4720	L	Alzheimer's disease:KEGG-hsa05010
4720	L	Huntington's disease:KEGG-hsa05016
4720	L	Oxidative phosphorylation:KEGG-hsa00190
4720	L	Parkinson's disease:KEGG-hsa05012
4723	L	Alzheimer's disease:KEGG-hsa05010
4723	L	Huntington's disease:KEGG-hsa05016
4723	L	Oxidative phosphorylation:KEGG-hsa00190
4723	L	Parkinson's disease:KEGG-hsa05012
4722	L	Alzheimer's disease:KEGG-hsa05010
4722	L	Huntington's disease:KEGG-hsa05016
4722	L	Oxidative phosphorylation:KEGG-hsa00190
4722	L	Parkinson's disease:KEGG-hsa05012
11282	L	N-Glycan biosynthesis:KEGG-hsa00510
11285	L	Glycosaminoglycan biosynthesis - chondroitin sulfate:KEGG-hsa00532
389692	L	Maturity onset diabetes of the young:KEGG-hsa04950
389692	L	Type II diabetes mellitus:KEGG-hsa04930
3745	L	Taste transduction:KEGG-hsa04742
4620	L	Tight junction:KEGG-hsa04530
4620	L	Viral myocarditis:KEGG-hsa05416
4621	L	Tight junction:KEGG-hsa04530
4621	L	Viral myocarditis:KEGG-hsa05416
4622	L	Tight junction:KEGG-hsa04530
4622	L	Viral myocarditis:KEGG-hsa05416
414062	L	Chagas disease (American trypanosomiasis):KEGG-hsa05142
414062	L	Chemokine signaling pathway:KEGG-hsa04062
414062	L	Cytokine-cytokine receptor interaction:KEGG-hsa04060
414062	L	Rheumatoid arthritis:KEGG-hsa05323
4624	L	Cardiac muscle contraction:KEGG-hsa04260
4624	L	Dilated cardiomyopathy:KEGG-hsa05414
4624	L	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410
4624	L	Tight junction:KEGG-hsa04530
4624	L	Viral myocarditis:KEGG-hsa05416
4625	L	Cardiac muscle contraction:KEGG-hsa04260
