GeneID	HMDB	Pathway
HMDB09307	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09307	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09307	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09307	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB09300	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB09300	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09300	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09300	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09300	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB09301	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB09301	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09301	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09301	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09301	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB09302	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB09302	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09302	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09302	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09302	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB09303	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB09303	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09303	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09303	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09303	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB08471	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08471	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08471	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08471	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08471	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08470	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08470	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08470	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08470	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08470	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08473	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08473	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08473	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08473	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08473	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08472	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08472	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08472	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08472	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08472	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08475	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08475	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08475	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08475	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08475	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08474	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08474	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08474	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08474	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08474	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08477	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08477	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08477	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08477	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08477	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08476	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08476	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08476	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08476	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08476	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB01345	Ch	Lysine degradation:KEGG-hsa00310
HMDB08875	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08875	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB08875	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08875	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB08875	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB08874	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08874	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB08874	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08874	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB08874	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB08877	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08877	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB08877	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08877	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB08877	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB08876	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08876	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB08876	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08876	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB08876	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB08871	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08871	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB08871	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08871	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB08871	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB08870	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08870	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB08870	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08870	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB08870	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB08873	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08873	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB08873	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08873	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB08873	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB08872	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08872	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB08872	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08872	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB08872	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB08879	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08879	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB08879	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08879	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB08879	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB04162	Ch	Galactose metabolism:KEGG-hsa00052
HMDB04161	Ch	Porphyrin and chlorophyll metabolism:KEGG-hsa00860
HMDB04160	Ch	Porphyrin and chlorophyll metabolism:KEGG-hsa00860
HMDB09139	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB09139	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09139	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09139	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09139	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB09278	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB09278	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09278	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09278	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09278	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB09279	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB09279	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09279	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09279	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09279	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB05780	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB05780	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB05780	Ch	Metabolic pathways:KEGG-hsa01100
HMDB05780	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB05780	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB03263	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09270	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB09270	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09270	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09270	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09270	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB09271	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB09271	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09271	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09271	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09271	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB09272	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB09272	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09272	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09272	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09272	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB09273	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB09273	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09273	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09273	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09273	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB12973	Ch	Drug metabolism - other enzymes:KEGG-hsa00983
HMDB09275	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB09275	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09275	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09275	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09275	Ch	Regulation of autophagy:KEGG-hsa04140
