GeneID	Ensembl	Pathway
ENSG00000206445	En	Collecting duct acid secretion:KEGG-hsa04966
ENSG00000206445	En	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120
ENSG00000206445	En	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000206445	En	Phagosome:KEGG-hsa04145
ENSG00000206445	En	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000206445	En	Vibrio cholerae infection:KEGG-hsa05110
ENSG00000206449	En	Natural killer cell mediated cytotoxicity:KEGG-hsa04650
ENSG00000161021	En	Notch signaling pathway:KEGG-hsa04330
ENSG00000256436	En	Taste transduction:KEGG-hsa04742
ENSG00000101972	En	Cell cycle:KEGG-hsa04110
ENSG00000253710	En	N-Glycan biosynthesis:KEGG-hsa00510
ENSG00000269405	En	RNA transport:KEGG-hsa03013
ENSG00000269405	En	Ribosome biogenesis in eukaryotes:KEGG-hsa03008
ENSG00000269405	En	mRNA surveillance pathway:KEGG-hsa03015
LRG_243	En	Aminoacyl-tRNA biosynthesis:KEGG-hsa00970
ENSG00000072736	En	Axon guidance:KEGG-hsa04360
ENSG00000072736	En	B cell receptor signaling pathway:KEGG-hsa04662
ENSG00000072736	En	Natural killer cell mediated cytotoxicity:KEGG-hsa04650
ENSG00000072736	En	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000072736	En	VEGF signaling pathway:KEGG-hsa04370
ENSG00000072736	En	Wnt signaling pathway:KEGG-hsa04310
LRG_248	En	Amoebiasis:KEGG-hsa05146
LRG_248	En	MAPK signaling pathway:KEGG-hsa04010
LRG_248	En	VEGF signaling pathway:KEGG-hsa04370
ENSG00000277833	En	Antigen processing and presentation:KEGG-hsa04612
ENSG00000277833	En	Graft-versus-host disease:KEGG-hsa05332
ENSG00000277833	En	Natural killer cell mediated cytotoxicity:KEGG-hsa04650
ENSG00000272803	En	Salivary secretion:KEGG-hsa04970
ENSG00000272805	En	Taste transduction:KEGG-hsa04742
ENSG00000005007	En	RNA transport:KEGG-hsa03013
ENSG00000005007	En	mRNA surveillance pathway:KEGG-hsa03015
ENSG00000107562	En	Axon guidance:KEGG-hsa04360
ENSG00000107562	En	Chemokine signaling pathway:KEGG-hsa04062
ENSG00000107562	En	Cytokine-cytokine receptor interaction:KEGG-hsa04060
ENSG00000107562	En	Intestinal immune network for IgA production:KEGG-hsa04672
ENSG00000107562	En	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000107562	En	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000107560	En	Endocytosis:KEGG-hsa04144
ENSG00000099940	En	SNARE interactions in vesicular transport:KEGG-hsa04130
