Source Identifier	SystemCode	ME	NA
ENSG00000112992	NNT	turquoise	En
ENSG00000141458	NPC1	turquoise	En
ENSG00000215440	NPEPL1	turquoise	En
ENSG00000141279	NPEPPS	turquoise	En
ENSG00000181019	NQO1	turquoise	En
ENSG00000076685	NT5C2	turquoise	En
ENSG00000135318	NT5E	turquoise	En
ENSG00000182667	NTM	turquoise	En
ENSG00000148053	NTRK2	turquoise	En
ENSG00000105953	OGDH	turquoise	En
ENSG00000119900	OGFRL1	turquoise	En
ENSG00000198836	OPA1	turquoise	En
ENSG00000083720	OXCT1	turquoise	En
ENSG00000165912	PACSIN3	turquoise	En
ENSG00000117115	PADI2	turquoise	En
ENSG00000168092	PAFAH1B2	turquoise	En
ENSG00000079462	PAFAH1B3	turquoise	En
ENSG00000197702	PARVA	turquoise	En
ENSG00000173599	PC	turquoise	En
ENSG00000175198	PCCA	turquoise	En
ENSG00000105185	PDCD5	turquoise	En
ENSG00000249915	PDCD6	turquoise	En
ENSG00000113721	PDGFRB	turquoise	En
ENSG00000131828	PDHA1	turquoise	En
ENSG00000168291	PDHB	turquoise	En
ENSG00000163110	PDLIM5	turquoise	En
ENSG00000089220	PEBP1	turquoise	En
ENSG00000261371	PECAM1	turquoise	En
ENSG00000204220	PFDN6	turquoise	En
ENSG00000164708	PGAM2	turquoise	En
ENSG00000142657	PGD	turquoise	En
ENSG00000079739	PGM1	turquoise	En
ENSG00000013375	PGM3	turquoise	En
ENSG00000184207	PGP	turquoise	En
NA	PHB	turquoise	En
ENSG00000215021	PHB2	turquoise	En
ENSG00000164530	PI16	turquoise	En
ENSG00000155252	PI4K2A	turquoise	En
ENSG00000087842	PIR	turquoise	En
ENSG00000057757	PITHD1	turquoise	En
ENSG00000174238	PITPNA	turquoise	En
ENSG00000180957	PITPNB	turquoise	En
ENSG00000187091	PLCD1	turquoise	En
ENSG00000161714	PLCD3	turquoise	En
ENSG00000129219	PLD2	turquoise	En
ENSG00000114698	PLSCR4	turquoise	En
ENSG00000120594	PLXDC2	turquoise	En
ENSG00000076356	PLXNA2	turquoise	En
ENSG00000198805	PNP	turquoise	En
ENSG00000180817	PPA1	turquoise	En
NA	PPAP2A	turquoise	En
NA	PPAP2B	turquoise	En
ENSG00000108179	PPIF	turquoise	En
ENSG00000131238	PPT1	turquoise	En
ENSG00000137509	PRCP	turquoise	En
ENSG00000117450	PRDX1	turquoise	En
ENSG00000165672	PRDX3	turquoise	En
ENSG00000117592	PRDX6	turquoise	En
ENSG00000138078	PREPL	turquoise	En
ENSG00000171867	PRNP	turquoise	En
ENSG00000100033	PRODH	turquoise	En
ENSG00000167371	PRRT2	turquoise	En
ENSG00000095261	PSMD5	turquoise	En
ENSG00000110801	PSMD9	turquoise	En
ENSG00000100911	PSME2	turquoise	En
ENSG00000148334	PTGES2	turquoise	En
ENSG00000140043	PTGR2	turquoise	En
ENSG00000185129	PURA	turquoise	En
NA	PVRL2	turquoise	En
ENSG00000068976	PYGM	turquoise	En
ENSG00000112210	RAB23	turquoise	En
ENSG00000168118	RAB4A	turquoise	En
ENSG00000119318	RAD23B	turquoise	En
ENSG00000006451	RALA	turquoise	En
ENSG00000127314	RAP1B	turquoise	En
ENSG00000125249	RAP2A	turquoise	En
ENSG00000137710	RDX	turquoise	En
ENSG00000102032	RENBP	turquoise	En
ENSG00000130988	RGN	turquoise	En
ENSG00000182732	RGS6	turquoise	En
ENSG00000176393	RNPEP	turquoise	En
ENSG00000147403	RPL10	turquoise	En
ENSG00000197958	RPL12	turquoise	En
NA	RPL13a	turquoise	En
ENSG00000265681	RPL17	turquoise	En
ENSG00000122406	RPL5	turquoise	En
ENSG00000142534	RPS11	turquoise	En
ENSG00000105193	RPS16	turquoise	En
ENSG00000182774	RPS17	turquoise	En
ENSG00000231500	RPS18	turquoise	En
ENSG00000105372	RPS19	turquoise	En
ENSG00000140988	RPS2	turquoise	En
ENSG00000149273	RPS3	turquoise	En
ENSG00000145425	RPS3A	turquoise	En
ENSG00000198034	RPS4X	turquoise	En
ENSG00000137154	RPS6	turquoise	En
ENSG00000071242	RPS6KA2	turquoise	En
ENSG00000171863	RPS7	turquoise	En
ENSG00000168028	RPSA	turquoise	En
ENSG00000126458	RRAS	turquoise	En
ENSG00000133818	RRAS2	turquoise	En
ENSG00000163191	S100A11	turquoise	En
ENSG00000100347	SAMM50	turquoise	En
NA	SARS	turquoise	En
ENSG00000138760	SCARB2	turquoise	En
ENSG00000143653	SCCPDH	turquoise	En
ENSG00000006747	SCIN	turquoise	En
ENSG00000116171	SCP2	turquoise	En
ENSG00000136193	SCRN1	turquoise	En
ENSG00000073578	SDHA	turquoise	En
ENSG00000117118	SDHB	turquoise	En
ENSG00000008952	SEC62	turquoise	En
NA	Sep.10	turquoise	En
NA	Sep.02	turquoise	En
ENSG00000119335	SET	turquoise	En
ENSG00000164466	SFXN1	turquoise	En
ENSG00000107819	SFXN3	turquoise	En
ENSG00000144040	SFXN5	turquoise	En
ENSG00000110013	SIAE	turquoise	En
ENSG00000141469	SLC14A1	turquoise	En
ENSG00000163406	SLC15A2	turquoise	En
ENSG00000155380	SLC16A1	turquoise	En
ENSG00000110436	SLC1A2	turquoise	En
ENSG00000079215	SLC1A3	turquoise	En
ENSG00000100075	SLC25A1	turquoise	En
ENSG00000108528	SLC25A11	turquoise	En
