Source Identifier	SystemCode	ME	NA
ENSG00000090273	NUDC	black	En
ENSG00000015676	NUDCD3	black	En
ENSG00000165609	NUDT5	black	En
ENSG00000138430	OLA1	black	En
ENSG00000183715	OPCML	black	En
ENSG00000110048	OSBP	black	En
ENSG00000167770	OTUB1	black	En
ENSG00000164830	OXR1	black	En
ENSG00000170515	PA2G4	black	En
ENSG00000175115	PACS1	black	En
ENSG00000124507	PACSIN1	black	En
ENSG00000007168	PAFAH1B1	black	En
ENSG00000149269	PAK1	black	En
ENSG00000077264	PAK3	black	En
ENSG00000099864	PALM	black	En
NA	PALM2	black	En
ENSG00000116288	PARK7	black	En
ENSG00000166228	PCBD1	black	En
ENSG00000156453	PCDH1	black	En
ENSG00000186472	PCLO	black	En
ENSG00000120265	PCMT1	black	En
ENSG00000185813	PCYT2	black	En
ENSG00000170248	PDCD6IP	black	En
ENSG00000115252	PDE1A	black	En
ENSG00000186642	PDE2A	black	En
ENSG00000160209	PDXK	black	En
ENSG00000241360	PDXP	black	En
ENSG00000143256	PFDN2	black	En
ENSG00000141959	PFKL	black	En
ENSG00000067057	PFKP	black	En
ENSG00000070087	PFN2	black	En
ENSG00000171314	PGAM1	black	En
ENSG00000130313	PGLS	black	En
ENSG00000169299	PGM2	black	En
ENSG00000165434	PGM2L1	black	En
ENSG00000112137	PHACTR1	black	En
ENSG00000092621	PHGDH	black	En
ENSG00000168490	PHYHIP	black	En
ENSG00000165443	PHYHIPL	black	En
ENSG00000241973	PI4KA	black	En
ENSG00000127445	PIN1	black	En
ENSG00000276293	PIP4K2B	black	En
ENSG00000166908	PIP4K2C	black	En
ENSG00000186111	PIP5K1C	black	En
ENSG00000182621	PLCB1	black	En
ENSG00000178209	PLEC	black	En
ENSG00000114554	PLXNA1	black	En
ENSG00000221866	PLXNA4	black	En
ENSG00000136040	PLXNC1	black	En
ENSG00000108439	PNPO	black	En
ENSG00000138777	PPA2	black	En
ENSG00000177380	PPFIA3	black	En
ENSG00000196262	PPIA	black	En
ENSG00000111110	PPM1H	black	En
ENSG00000214517	PPME1	black	En
ENSG00000213639	PPP1CB	black	En
ENSG00000162869	PPP1R21	black	En
ENSG00000115685	PPP1R7	black	En
ENSG00000104695	PPP2CB	black	En
ENSG00000105568	PPP2R1A	black	En
ENSG00000221914	PPP2R2A	black	En
NA	PPP2R4	black	En
ENSG00000112640	PPP2R5D	black	En
ENSG00000154001	PPP2R5E	black	En
ENSG00000138814	PPP3CA	black	En
ENSG00000107758	PPP3CB	black	En
ENSG00000221823	PPP3R1	black	En
ENSG00000011485	PPP5C	black	En
ENSG00000085377	PREP	black	En
ENSG00000046889	PREX2	black	En
ENSG00000142875	PRKACB	black	En
ENSG00000114302	PRKAR2A	black	En
ENSG00000005249	PRKAR2B	black	En
ENSG00000166501	PRKCB	black	En
ENSG00000171132	PRKCE	black	En
ENSG00000126583	PRKCG	black	En
ENSG00000163704	PRRT3	black	En
ENSG00000197746	PSAP	black	En
ENSG00000135069	PSAT1	black	En
ENSG00000156011	PSD3	black	En
ENSG00000100764	PSMC1	black	En
ENSG00000161057	PSMC2	black	En
ENSG00000087191	PSMC5	black	En
ENSG00000100519	PSMC6	black	En
ENSG00000108671	PSMD11	black	En
ENSG00000175166	PSMD2	black	En
ENSG00000092010	PSME1	black	En
ENSG00000179295	PTPN11	black	En
ENSG00000153707	PTPRD	black	En
ENSG00000149177	PTPRJ	black	En
ENSG00000105426	PTPRS	black	En
NA	PVRL1	black	En
ENSG00000103485	QPRT	black	En
ENSG00000206418	RAB12	black	En
ENSG00000119396	RAB14	black	En
ENSG00000138069	RAB1A	black	En
ENSG00000174903	RAB1B	black	En
ENSG00000041353	RAB27B	black	En
ENSG00000104388	RAB2A	black	En
ENSG00000168461	RAB31	black	En
ENSG00000111737	RAB35	black	En
ENSG00000105649	RAB3A	black	En
ENSG00000152932	RAB3C	black	En
ENSG00000167578	RAB4B	black	En
ENSG00000111540	RAB5B	black	En
ENSG00000175582	RAB6A	black	En
ENSG00000029725	RABEP1	black	En
ENSG00000011454	RABGAP1	black	En
ENSG00000100949	RABGGTA	black	En
